 , , , , , , , , , 
,,,,,,,,,
Category,Discipline,Subject,SourceType,ISSN,PublicationName,IndexingStart,IndexingStop,FullTextStart,FullTextStop
Health & Medicine,Health & Medicine (General),Medical History,Academic Journal,1334-4366,Acta Medico-Historica Adriatica,07/01/2007,,07/01/2007,
History,Topical History,Medical History,Academic Journal,1334-4366,Acta Medico-Historica Adriatica,07/01/2007,,07/01/2007,
Science,Science (General),Microscopy,Academic Journal,0798-4545,Acta Microscopica,12/01/2008,,12/01/2008,
Technology,Technology by Type,Microscopy,Academic Journal,0798-4545,Acta Microscopica,12/01/2008,,12/01/2008,
Social Sciences & Humanities,Anthropology,Anthropology,Academic Journal,0036-5343,"Acta Musei Nationalis Pragae, Series B - Historia Naturalis",06/01/2009,,06/01/2009,
Science,Earth & Atmospheric Sciences,Earth & Atmospheric Sciences,Academic Journal,0036-5343,"Acta Musei Nationalis Pragae, Series B - Historia Naturalis",06/01/2009,,06/01/2009,
Science,Life Sciences,Life Sciences,Academic Journal,0036-5343,"Acta Musei Nationalis Pragae, Series B - Historia Naturalis",06/01/2009,,06/01/2009,
Health & Medicine,Medical Sciences,Neurology,Academic Journal,0001-6314,Acta Neurologica Scandinavica,01/01/2000,,01/01/2000,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,0001-6314,Acta Neurologica Scandinavica,01/01/2000,,01/01/2000,
Health & Medicine,Clinical Specialties,Gynecology,Academic Journal,0001-6349,Acta Obstetricia et Gynecologica Scandinavica,01/01/1999,,01/01/1999,
Health & Medicine,Clinical Specialties,Obstetrics,Academic Journal,0001-6349,Acta Obstetricia et Gynecologica Scandinavica,01/01/1999,,01/01/1999,
Technology,Engineering,Biomedical Engineering,Academic Journal,1509-409X,Acta of Bioengineering & Biomechanics,04/01/2005,,04/01/2005,
Science,Life Sciences,Biomedical Engineering,Academic Journal,1509-409X,Acta of Bioengineering & Biomechanics,04/01/2005,,04/01/2005,
Health & Medicine,Medical Sciences,Biomedical Engineering,Academic Journal,1509-409X,Acta of Bioengineering & Biomechanics,04/01/2005,,04/01/2005,
Health & Medicine,Clinical Specialties,Oncology,Academic Journal,0284-186X,Acta Oncologica,05/18/1998,,05/18/1998,
Health & Medicine,Clinical Specialties,Oncology,Academic Journal,1100-1704,Acta Oncologica. Supplement,06/01/1998,,07/31/1998,
Health & Medicine,Clinical Specialties,Ophthalmology,Academic Journal,1755-375X,Acta Ophthalmologica (1755375X),02/01/2008,,02/01/2008,
Health & Medicine,Clinical Specialties,Ophthalmology,Academic Journal,1395-3907,Acta Ophthalmologica Scandinavica,01/01/2000,01/31/2008,02/01/2000,01/31/2008
Health & Medicine,Clinical Specialties,Orthopedic Medicine,Academic Journal,1745-3674,Acta Orthopaedica,01/01/2005,,02/01/2005,
Health & Medicine,Clinical Specialties,Orthopedic Medicine,Academic Journal,1745-3690,Acta Orthopaedica (Supplement),01/01/2005,,02/01/2005,
Health & Medicine,Clinical Specialties,Orthopedic Medicine,Academic Journal,0001-6470,Acta Orthopaedica Scandinavica,08/01/1998,12/31/2004,08/01/1998,12/31/2004
Health & Medicine,Clinical Specialties,Orthopedic Medicine,Academic Journal,1665-4714,Acta Ortopedica Mexicana,07/01/2002,,07/01/2002,
Health & Medicine,Clinical Specialties,Otolaryngology,Academic Journal,0001-6489,Acta Oto-Laryngologica,01/01/1998,,01/01/1998,
Health & Medicine,Clinical Specialties,Otolaryngology,Academic Journal,0365-5237,Acta Oto-Laryngologica (Supplement),05/27/1998,,05/27/1998,
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,0803-5253,Acta Paediatrica,08/25/1998,,08/25/1998,
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,0803-5326,Acta Paediatrica. Supplement,10/01/1998,,10/01/1998,
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,0186-2391,Acta Pediatrica de Mexico,01/01/1999,,01/01/1999,
Science,Physics,Physics,Academic Journal,0587-4254,Acta Physica Polonica B,11/01/2006,,11/01/2006,
Science,Physics,Physics,Academic Journal,0587-4246,"Acta Physica Polonica, A.",10/01/2009,,10/01/2009,
Health & Medicine,Medical Sciences,Physiology,Academic Journal,1748-1708,Acta Physiologica,01/01/2006,,01/01/2006,
Health & Medicine,Medical Sciences,Physiology,Academic Journal,0001-6772,Acta Physiologica Scandinavica,01/01/1998,12/31/2005,01/01/1998,12/31/2005
Health & Medicine,Clinical Specialties,Psychiatry,Academic Journal,0300-8967,Acta Psychiatrica Belgica,11/01/2010,,11/01/2010,
Health & Medicine,Clinical Specialties,Psychiatry,Academic Journal,0001-690X,Acta Psychiatrica Scandinavica,01/01/2000,,01/01/2000,
Health & Medicine,Clinical Specialties,Psychiatry,Academic Journal,0065-1591,Acta Psychiatrica Scandinavica. Supplementum,04/01/2000,,04/01/2000,
Health & Medicine,Clinical Specialties,Oncology,Academic Journal,0284-1851,Acta Radiologica,01/01/1999,,01/01/1999,
Health & Medicine,Clinical Specialties,Radiology,Academic Journal,0284-1851,Acta Radiologica,01/01/1999,,01/01/1999,
Health & Medicine,Clinical Specialties,Radiology,Academic Journal,2047-9816,Acta Radiologica Short Reports,10/01/2012,,10/01/2012,
Science,Life Sciences,Veterinary Medicine,Academic Journal,1678-0345,Acta Scientiae Veterinariae,01/01/2011,,01/01/2011,
Health & Medicine,Clinical Specialties,Veterinary Medicine,Academic Journal,1678-0345,Acta Scientiae Veterinariae,01/01/2011,,01/01/2011,
Science,Life Sciences,Food Science & Technology,Academic Journal,1644-0730,Acta Scientiarum Polonorum. Technologia Alimentaria,09/01/2008,,09/01/2008,
Technology,Industrial Technology,Food Science & Technology,Academic Journal,1644-0730,Acta Scientiarum Polonorum. Technologia Alimentaria,09/01/2008,,09/01/2008,
Science,Life Sciences,Nutrition Science,Academic Journal,1644-0730,Acta Scientiarum Polonorum. Technologia Alimentaria,09/01/2008,,09/01/2008,
Health & Medicine,Medical Sciences,Nutrition Science,Academic Journal,1644-0730,Acta Scientiarum Polonorum. Technologia Alimentaria,09/01/2008,,09/01/2008,
Technology,Industrial Technology,Nutrition Science,Academic Journal,1644-0730,Acta Scientiarum Polonorum. Technologia Alimentaria,09/01/2008,,09/01/2008,
Technology,Biotechnology,Biotechnology,Academic Journal,1644-065X,Acta Scientiarum Polonorum: Biotechnologia,12/01/2008,,12/01/2008,
Science,Life Sciences,Biotechnology,Academic Journal,1644-065X,Acta Scientiarum Polonorum: Biotechnologia,12/01/2008,,12/01/2008,
Science,Science (General),Science (General),Academic Journal,1644-0668,Acta Scientiarum Polonorum: Geodesia et Descriptio Terrarum,12/01/2008,,12/01/2008,
Science,Life Sciences,Veterinary Medicine,Academic Journal,1644-0676,Acta Scientiarum Polonorum: Medicina Veterinaria,12/01/2008,,12/01/2008,
Health & Medicine,Clinical Specialties,Veterinary Medicine,Academic Journal,1644-0676,Acta Scientiarum Polonorum: Medicina Veterinaria,12/01/2008,,12/01/2008,
Science,Life Sciences,Agricultural Technology,Academic Journal,1679-9275,Acta Scientiarum: Agronomy,01/01/2009,,01/01/2009,
Technology,Industrial Technology,Agricultural Technology,Academic Journal,1679-9275,Acta Scientiarum: Agronomy,01/01/2009,,01/01/2009,
Social Sciences & Humanities,Social Sciences & Humanities (General),Social Sciences & Humanities (General),Academic Journal,1679-7361,Acta Scientiarum: Human & Social Sciences,01/01/2005,,01/01/2009,
Science,Life Sciences,Botany,Academic Journal,0001-6977,Acta Societatis Botanicorum Poloniae,12/01/2011,,12/01/2011,
Social Sciences & Humanities,Sociology,Sociology,Academic Journal,0001-6993,Acta Sociologica (Taylor & Francis Ltd),03/01/1975,12/31/2002,03/01/1975,12/31/2002
Technology,Engineering,Engineering,Academic Journal,2067-3809,Acta Technica Corvininesis - Bulletin of Engineering,07/01/2011,,07/01/2011,
Religion & Philosophy,Religion & Philosophy (General),Religion & Philosophy (General),Academic Journal,1015-8758,Acta Theologica,04/01/2011,,04/01/2011,
Science,Chemistry,Toxicology,Academic Journal,1731-6383,Acta Toxicologica,01/01/2006,,01/01/2006,
Health & Medicine,Medical Sciences,Toxicology,Academic Journal,1731-6383,Acta Toxicologica,01/01/2006,,01/01/2006,
Social Sciences & Humanities,Area Studies,Turkology,Academic Journal,1308-8351,Acta Turcica,07/01/2009,,07/01/2009,
Technology,Engineering,Electrical Engineering,Academic Journal,2065-5916,Acta Universitatis Sapientiae - Electrical & Mechanical Engineering,12/01/2010,,12/01/2010,
Technology,Engineering,Mechanical Engineering,Academic Journal,2065-5916,Acta Universitatis Sapientiae - Electrical & Mechanical Engineering,12/01/2010,,12/01/2010,
Science,Life Sciences,Veterinary Medicine,Academic Journal,0567-8315,Acta Veterinaria,03/01/2007,,03/01/2007,
Health & Medicine,Clinical Specialties,Veterinary Medicine,Academic Journal,0567-8315,Acta Veterinaria,03/01/2007,,03/01/2007,
Science,Life Sciences,Veterinary Medicine,Academic Journal,0001-7213,Acta Veterinaria Brno,09/01/2008,,09/01/2008,
Health & Medicine,Clinical Specialties,Veterinary Medicine,Academic Journal,0001-7213,Acta Veterinaria Brno,09/01/2008,,09/01/2008,
Health & Medicine,Medical Sciences,Biomedicine,Academic Journal,0001-7213,Acta Veterinaria Brno,09/01/2008,,09/01/2008,
Science,Life Sciences,Veterinary Medicine,Academic Journal,0044-605X,Acta Veterinaria Scandinavica,01/01/2001,,01/01/2001,
Health & Medicine,Clinical Specialties,Veterinary Medicine,Academic Journal,0044-605X,Acta Veterinaria Scandinavica,01/01/2001,,01/01/2001,
Science,Life Sciences,Zoology,Academic Journal,0001-7272,Acta Zoologica,01/01/1920,,01/01/1920,
Science,Life Sciences,Zoology,Academic Journal,1392-1657,Acta Zoologica Lituanica,03/01/2003,12/31/2011,03/01/2003,12/31/2011
Science,Life Sciences,Zoology,Academic Journal,0065-1737,Acta Zoológica Mexicana,04/01/2001,,04/01/2001,
Technology,Electronics,Electronics,Academic Journal,0882-7516,Active & Passive Electronic Components,03/01/2002,,03/01/2002,
Health & Medicine,Medical Sciences,Neurology,Academic Journal,1802-9698,Activitas Nervosa Superior,01/01/2011,,01/01/2011,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,1802-9698,Activitas Nervosa Superior,01/01/2011,,01/01/2011,
Health & Medicine,Clinical Specialties,Gynecology,Academic Journal,1803-9588,Actual Gynecology & Obstetrics / Aktuální Gynekologie a Porodnictví,01/01/2011,,01/01/2011,
Health & Medicine,Clinical Specialties,Obstetrics,Academic Journal,1803-9588,Actual Gynecology & Obstetrics / Aktuální Gynekologie a Porodnictví,01/01/2011,,01/01/2011,
Politics & Government,Law,Law,Academic Journal,1578-956X,Actualidad Juridica (1578-956X),02/01/2002,,02/01/2002,
Social Sciences & Humanities,Law,Law,Academic Journal,1578-956X,Actualidad Juridica (1578-956X),02/01/2002,,02/01/2002,
Health & Medicine,Clinical Specialties,Cardiology,Academic Journal,1748-2941,Acute Cardiac Care,01/01/2006,,04/01/2006,
Religion & Philosophy,Christianity,History of Christianity,Academic Journal,1126-6244,Adamantius,01/01/2009,,01/01/2009,
Religion & Philosophy,Religion & Philosophy (General),History of Christianity,Academic Journal,1126-6244,Adamantius,01/01/2009,,01/01/2009,
History,History of Religions,History of Christianity,Academic Journal,1126-6244,Adamantius,01/01/2009,,01/01/2009,
Religion & Philosophy,Christianity,Christian Life & Spirituality,Academic Journal,1126-6244,Adamantius,01/01/2009,,01/01/2009,
Health & Medicine,Diseases & Conditions,Substance Abuse & Addiction,Academic Journal,0965-2140,Addiction,01/01/1993,,01/01/1993,
Health & Medicine,Medical Sciences,Neurology,Academic Journal,1355-6215,Addiction Biology,07/01/1996,,07/01/1996,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,1355-6215,Addiction Biology,07/01/1996,,07/01/1996,
Health & Medicine,Diseases & Conditions,Substance Abuse & Addiction,Academic Journal,1355-6215,Addiction Biology,07/01/1996,,07/01/1996,
Health & Medicine,Diseases & Conditions,Substance Abuse & Addiction,Academic Journal,1058-6989,Addiction Research,04/01/1997,12/31/2000,04/01/1997,12/31/2000
Health & Medicine,Diseases & Conditions,Substance Abuse & Addiction,Academic Journal,1606-6359,Addiction Research & Theory,01/01/2001,,01/01/2001,
Politics & Government,Public Policy & Administration,Public Policy & Administration,Academic Journal,1084-1806,Administrative Theory & Praxis (Administrative Theory & Praxis),03/01/2000,12/31/2008,03/01/2000,12/31/2008
Social Sciences & Humanities,Public Policy & Administration,Public Policy & Administration,Academic Journal,1084-1806,Administrative Theory & Praxis (Administrative Theory & Praxis),03/01/2000,12/31/2008,03/01/2000,12/31/2008
Politics & Government,Public Policy & Administration,Public Policy & Administration,Academic Journal,1084-1806,Administrative Theory & Praxis (M.E. Sharpe),01/01/2009,,03/01/2009,
Social Sciences & Humanities,Public Policy & Administration,Public Policy & Administration,Academic Journal,1084-1806,Administrative Theory & Praxis (M.E. Sharpe),01/01/2009,,03/01/2009,
Social Sciences & Humanities,Psychology,Child & Adolescent Psychology,Academic Journal,0001-8449,Adolescence,03/01/1990,12/31/2009,03/01/1990,12/31/2009
Health & Medicine,Clinical Specialties,Child & Adolescent Psychology,Academic Journal,0001-8449,Adolescence,03/01/1990,12/31/2009,03/01/1990,12/31/2009
Health & Medicine,Allied Health,Child & Adolescent Psychiatry,Academic Journal,0001-8449,Adolescence,03/01/1990,12/31/2009,03/01/1990,12/31/2009
Health & Medicine,Clinical Specialties,Child & Adolescent Psychiatry,Academic Journal,0001-8449,Adolescence,03/01/1990,12/31/2009,03/01/1990,12/31/2009
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,1179-318X,"Adolescent Health, Medicine & Therapeutics",05/01/2012,,05/01/2012,
Health & Medicine,Allied Health,Child & Adolescent Psychiatry,Academic Journal,0065-2008,Adolescent Psychiatry,01/01/2000,12/31/2007,01/01/2000,12/31/2007
Health & Medicine,Clinical Specialties,Child & Adolescent Psychiatry,Academic Journal,0065-2008,Adolescent Psychiatry,01/01/2000,12/31/2007,01/01/2000,12/31/2007
Science,Chemistry,Adsorption,Academic Journal,0263-6174,Adsorption Science & Technology,02/01/2007,,02/01/2007,
Science,Physics,Adsorption,Academic Journal,0263-6174,Adsorption Science & Technology,02/01/2007,,02/01/2007,
Education,Educational Levels,Adult Education,Academic Journal,1052-231X,Adult Basic Education,07/01/1996,12/31/2006,07/01/1996,12/31/2006
Education,Educational Levels,Adult Education,Academic Journal,1934-2322,Adult Basic Education & Literacy Journal,01/01/2007,12/31/2011,03/01/2007,12/31/2011
Literature & Writing,Language Arts Education,Literacy & Literacy Education,Academic Journal,1934-2322,Adult Basic Education & Literacy Journal,01/01/2007,12/31/2011,03/01/2007,12/31/2011
Education,Subject Specific Education,Literacy & Literacy Education,Academic Journal,1934-2322,Adult Basic Education & Literacy Journal,01/01/2007,12/31/2011,03/01/2007,12/31/2011
Education,Educational Levels,Adult Education,Academic Journal,0741-7136,Adult Education Quarterly,07/01/1996,,09/01/1996,
