"","X","title","first","last","n","H","hIndex","quartile"
"62",5,"Research on Social Work Practice",1991,2013,1086,"Y",29,4
"63",72,"Rural Social Work",2000,2004,39,"Y",6,1
"64",58,"School Social Work Journal",2002,2013,139,"Y",5,1
"65",26,"Smith College Studies in Social Work",1989,2013,479,"Y",9,2
"66",17,"Social Development",1992,2013,691,"N",NA,NA
"67",43,"Social Development Issues",1992,2013,241,"Y",9,2
"68",14,"Social Service Review",1989,2013,739,"Y",30,4
"69",2,"Social Work",1989,2013,1455,"Y",36,4
"70",51,"Social Work & Christianity",2005,2013,184,"Y",6,1
"71",46,"Social Work & Social Sciences Review",1989,2013,212,"Y",8,2
"72",47,"Social Work & Society",2003,2012,211,"Y",7,2
"73",10,"Social Work Education",1999,2013,826,"Y",19,4
"74",76,"Social Work Forum",2004,2009,27,"Y",2,1
"75",6,"Social Work in Health Care",1989,2013,1035,"Y",19,4
"76",35,"Social Work in Mental Health",2002,2013,292,"Y",9,2
"77",55,"Social Work in Public Health",2007,2013,156,"Y",12,3
"78",24,"Social Work Research",1989,2013,584,"Y",25,4
"79",52,"Social Work Review",2010,2013,184,"Y",4,1
"80",19,"Social Work With Groups",1989,2013,638,"Y",14,3
"81",56,"The Hong Kong Journal of Social Work",1993,2012,155,"Y",3,1
