,Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
73,Asian Social Work & Policy Review,2008,NA,NA,NA,0,9,33.33,0
74,Asian Social Work & Policy Review,2009,0.131,0.125,0.07,3,16,6.25,0
75,Asian Social Work & Policy Review,2010,0.198,0.375,0.543,13,11,72.73,0
76,Asian Social Work & Policy Review,2011,0.143,0.229,0.265,13,14,35.71,0
77,Asian Social Work & Policy Review,2012,0.189,0.293,0.279,27,17,47.06,0
78,Asian Social Work & Policy Review,2013,0.159,0.286,0.378,23,18,77.78,0
79,Asian Social Work & Policy Review,2014,NA,NA,NA,21,15,100,0
80,Asian Social Work & Policy Review,2015,NA,NA,NA,2,0,0,0
81,Australian Social Work,1996,NA,NA,NA,0,0,0,0
82,Australian Social Work,1997,NA,NA,NA,0,0,0,0
83,Australian Social Work,1998,NA,NA,NA,0,10,40,0
84,Australian Social Work,1999,NA,NA,NA,1,40,45,0
85,Australian Social Work,2000,NA,NA,NA,3,36,38.89,0
86,Australian Social Work,2001,NA,NA,NA,7,63,52.38,0
87,Australian Social Work,2002,NA,NA,NA,22,40,47.5,0
88,Australian Social Work,2003,NA,NA,NA,8,53,54.72,0
89,Australian Social Work,2004,NA,NA,NA,35,61,62.3,0
90,Australian Social Work,2005,NA,NA,NA,23,62,54.84,0
91,Australian Social Work,2006,NA,NA,NA,53,62,53.23,0
92,Australian Social Work,2007,NA,NA,NA,89,63,53.97,3.17
93,Australian Social Work,2008,0.122,0.069,0.202,133,66,60.61,1.52
94,Australian Social Work,2009,0.326,0.367,0.73,213,63,47.62,1.59
95,Australian Social Work,2010,0.337,0.418,0.516,208,55,49.09,1.82
96,Australian Social Work,2011,0.445,0.769,0.762,275,53,43.4,3.77
97,Australian Social Work,2012,0.434,0.67,0.644,332,45,31.11,0
98,Australian Social Work,2013,0.341,0.505,0.424,381,49,48.98,4.08
99,Australian Social Work,2014,NA,NA,NA,307,48,81.25,2.08
100,Australian Social Work,2015,NA,NA,NA,47,10,100,0
101,British Journal of Social Work,1996,NA,NA,NA,232,95,63.16,5.26
102,British Journal of Social Work,1997,NA,NA,NA,224,107,59.81,0.93
103,British Journal of Social Work,1998,NA,NA,NA,253,104,53.85,8.65
104,British Journal of Social Work,1999,0.351,0.642,1.129,267,100,55,10
105,British Journal of Social Work,2000,0.341,0.484,1.013,287,120,59.17,1.67
106,British Journal of Social Work,2001,0.353,0.626,0.982,339,121,54.55,7.44
107,British Journal of Social Work,2002,0.406,0.527,1.063,357,130,49.23,18.46
108,British Journal of Social Work,2003,0.42,0.69,1.146,495,139,53.96,15.11
109,British Journal of Social Work,2004,0.343,0.614,1.05,463,145,57.24,28.97
110,British Journal of Social Work,2005,0.437,0.712,0.936,626,166,56.02,9.64
111,British Journal of Social Work,2006,0.41,0.765,1.131,782,185,62.16,19.46
112,British Journal of Social Work,2007,0.568,0.7,1.002,843,157,52.23,5.1
113,British Journal of Social Work,2008,0.644,0.857,1.028,1271,165,49.09,12.73
114,British Journal of Social Work,2009,0.845,1.075,1.455,1470,158,45.57,2.53
115,British Journal of Social Work,2010,0.886,1.34,1.582,1641,211,33.65,1.42
116,British Journal of Social Work,2011,0.827,1.383,1.29,1797,136,44.12,8.82
117,British Journal of Social Work,2012,1.061,1.308,1.453,2075,105,35.24,17.14
118,British Journal of Social Work,2013,0.953,1.424,1.601,2517,115,62.61,7.83
119,British Journal of Social Work,2014,NA,NA,NA,1925,92,85.87,3.26
120,British Journal of Social Work,2015,NA,NA,NA,136,0,0,0
121,Child & Adolescent Social Work Journal,1996,NA,NA,NA,106,38,26.32,2.63
122,Child & Adolescent Social Work Journal,1997,NA,NA,NA,94,33,33.33,18.18
123,Child & Adolescent Social Work Journal,1998,NA,NA,NA,113,37,40.54,18.92
124,Child & Adolescent Social Work Journal,1999,0.339,0.451,0.694,159,29,27.59,10.34
125,Child & Adolescent Social Work Journal,2000,0.259,0.342,0.646,151,30,20,10
126,Child & Adolescent Social Work Journal,2001,0.186,0.203,0.417,153,30,26.67,13.33
127,Child & Adolescent Social Work Journal,2002,0.186,0.169,0.169,166,30,20,0
128,Child & Adolescent Social Work Journal,2003,0.233,0.296,0.405,207,41,34.15,36.59
129,Child & Adolescent Social Work Journal,2004,0.207,0.253,0.253,179,45,26.67,20
130,Child & Adolescent Social Work Journal,2005,0.253,0.357,0.432,251,29,24.14,24.14
131,Child & Adolescent Social Work Journal,2006,0.284,0.429,0.505,344,37,24.32,16.22
132,Child & Adolescent Social Work Journal,2007,0.247,0.244,0.324,342,31,3.23,0
133,Child & Adolescent Social Work Journal,2008,0.24,0.364,0.337,396,44,27.27,0
134,Child & Adolescent Social Work Journal,2009,0.308,0.51,0.395,479,45,31.11,0
135,Child & Adolescent Social Work Journal,2010,0.252,0.52,0.444,514,29,17.24,13.79
136,Child & Adolescent Social Work Journal,2011,0.38,0.794,0.542,590,29,27.59,6.9
137,Child & Adolescent Social Work Journal,2012,0.279,0.62,0.467,630,30,30,3.33
138,Child & Adolescent Social Work Journal,2013,0.269,0.586,0.386,664,30,60,6.67
139,Child & Adolescent Social Work Journal,2014,NA,NA,NA,470,55,96.36,5.45
140,Child & Adolescent Social Work Journal,2015,NA,NA,NA,22,6,100,0
141,Child & Family Social Work,1996,NA,NA,NA,0,0,0,0
142,Child & Family Social Work,1997,NA,NA,NA,0,0,0,0
143,Child & Family Social Work,1998,NA,NA,NA,0,19,36.84,0
144,Child & Family Social Work,1999,NA,NA,NA,3,52,46.15,0
145,Child & Family Social Work,2000,NA,NA,NA,9,54,44.44,0
146,Child & Family Social Work,2001,NA,NA,NA,17,60,50,0
147,Child & Family Social Work,2002,NA,NA,NA,66,53,47.17,1.89
148,Child & Family Social Work,2003,0.172,0.167,0.213,83,55,43.64,0
149,Child & Family Social Work,2004,0.208,0.377,0.634,80,55,45.45,0
150,Child & Family Social Work,2005,0.421,0.566,1.118,140,54,40.74,20.37
151,Child & Family Social Work,2006,0.326,0.4,0.837,236,49,26.53,32.65
152,Child & Family Social Work,2007,0.71,0.554,0.866,373,62,33.87,3.23
153,Child & Family Social Work,2008,0.937,1.292,1.633,468,63,30.16,0
154,Child & Family Social Work,2009,0.98,1.119,0.96,500,61,22.95,0
155,Child & Family Social Work,2010,0.733,1.108,1.069,651,67,38.81,1.49
156,Child & Family Social Work,2011,0.777,1.207,1.125,784,65,46.15,1.54
157,Child & Family Social Work,2012,0.83,1.153,1.082,838,48,20.83,6.25
158,Child & Family Social Work,2013,0.493,0.912,0.869,869,99,71.72,0
159,Child & Family Social Work,2014,NA,NA,NA,835,89,91.01,0
160,Child & Family Social Work,2015,NA,NA,NA,75,19,100,0
161,China Journal of Social Work,1996,NA,NA,NA,0,0,0,0
162,China Journal of Social Work,1997,NA,NA,NA,0,0,0,0
163,China Journal of Social Work,1998,NA,NA,NA,0,0,0,0
164,China Journal of Social Work,1999,NA,NA,NA,0,0,0,0
165,China Journal of Social Work,2000,NA,NA,NA,0,0,0,0
166,China Journal of Social Work,2001,NA,NA,NA,0,0,0,0
167,China Journal of Social Work,2002,NA,NA,NA,0,0,0,0
168,China Journal of Social Work,2003,NA,NA,NA,0,0,0,0
169,China Journal of Social Work,2004,NA,NA,NA,0,0,0,0
170,China Journal of Social Work,2005,NA,NA,NA,0,0,0,0
171,China Journal of Social Work,2006,NA,NA,NA,0,0,0,0
172,China Journal of Social Work,2007,NA,NA,NA,0,0,0,0
173,China Journal of Social Work,2008,NA,NA,NA,0,0,0,0
174,China Journal of Social Work,2009,NA,NA,NA,0,0,0,0
175,China Journal of Social Work,2010,NA,NA,NA,0,23,43.48,17.39
176,China Journal of Social Work,2011,0.108,0.048,0.024,1,23,65.22,0
177,China Journal of Social Work,2012,0.12,0.026,0.064,9,22,68.18,4.55
178,China Journal of Social Work,2013,0.265,0.375,0.611,29,26,80.77,0
179,China Journal of Social Work,2014,NA,NA,NA,15,25,100,0
180,China Journal of Social Work,2015,NA,NA,NA,3,0,0,0
181,Clinical Social Work Journal,1996,NA,NA,NA,119,36,30.56,16.67
182,Clinical Social Work Journal,1997,NA,NA,NA,112,43,44.19,4.65
183,Clinical Social Work Journal,1998,NA,NA,NA,111,49,51.02,8.16
184,Clinical Social Work Journal,1999,0.283,0.434,1.08,130,43,48.84,0
185,Clinical Social Work Journal,2000,0.289,0.319,0.786,124,39,33.33,2.56
186,Clinical Social Work Journal,2001,0.207,0.178,0.389,107,41,43.9,2.44
187,Clinical Social Work Journal,2002,0.153,0.181,0.358,107,42,50,14.29
188,Clinical Social Work Journal,2003,0.162,0.219,0.43,135,48,52.08,29.17
189,Clinical Social Work Journal,2004,0.219,0.25,0.848,123,49,59.18,18.37
190,Clinical Social Work Journal,2005,0.167,0.192,0.375,148,50,56,16
191,Clinical Social Work Journal,2006,0.233,0.243,0.542,254,52,42.31,19.23
192,Clinical Social Work Journal,2007,0.178,0.22,0.353,227,42,28.57,0
193,Clinical Social Work Journal,2008,0.271,0.58,0.837,278,55,43.64,5.45
194,Clinical Social Work Journal,2009,0.293,0.455,0.551,247,53,43.4,1.89
195,Clinical Social Work Journal,2010,0.354,0.623,0.974,328,58,44.83,0
196,Clinical Social Work Journal,2011,0.281,0.59,0.789,358,50,30,10
197,Clinical Social Work Journal,2012,0.23,0.418,0.488,446,49,42.86,0
198,Clinical Social Work Journal,2013,0.31,0.543,0.604,406,54,68.52,3.7
199,Clinical Social Work Journal,2014,NA,NA,NA,383,53,88.68,0
200,Clinical Social Work Journal,2015,NA,NA,NA,20,0,0,0
201,China Journal of Social Work,1997,NA,NA,NA,0,0,0,0
202,China Journal of Social Work,1998,NA,NA,NA,0,0,0,0
203,China Journal of Social Work,1999,NA,NA,NA,0,0,0,0
204,China Journal of Social Work,2000,NA,NA,NA,0,0,0,0
205,China Journal of Social Work,2001,NA,NA,NA,0,0,0,0
206,China Journal of Social Work,2002,NA,NA,NA,0,0,0,0
207,China Journal of Social Work,2003,NA,NA,NA,0,0,0,0
208,China Journal of Social Work,2004,NA,NA,NA,0,0,0,0
209,China Journal of Social Work,2005,NA,NA,NA,0,0,0,0
210,China Journal of Social Work,2006,NA,NA,NA,0,0,0,0
211,China Journal of Social Work,2007,NA,NA,NA,0,0,0,0
212,China Journal of Social Work,2008,NA,NA,NA,0,0,0,0
213,China Journal of Social Work,2009,NA,NA,NA,0,0,0,0
214,China Journal of Social Work,2010,NA,NA,NA,0,23,43.48,17.39
215,China Journal of Social Work,2011,0.108,0.048,0.024,1,23,65.22,0
216,China Journal of Social Work,2012,0.12,0.026,0.064,9,22,68.18,4.55
217,China Journal of Social Work,2013,0.265,0.375,0.611,29,26,80.77,0
218,China Journal of Social Work,2014,NA,NA,NA,15,25,100,0
219,China Journal of Social Work,2015,NA,NA,NA,3,0,0,0
220,Clinical Social Work Journal,1996,NA,NA,NA,119,36,30.56,16.67
221,Clinical Social Work Journal,1997,NA,NA,NA,112,43,44.19,4.65
222,Clinical Social Work Journal,1998,NA,NA,NA,111,49,51.02,8.16
223,Clinical Social Work Journal,1999,0.283,0.434,1.08,130,43,48.84,0
224,Clinical Social Work Journal,2000,0.289,0.319,0.786,124,39,33.33,2.56
225,Clinical Social Work Journal,2001,0.207,0.178,0.389,107,41,43.9,2.44
226,Clinical Social Work Journal,2002,0.153,0.181,0.358,107,42,50,14.29
227,Clinical Social Work Journal,2003,0.162,0.219,0.43,135,48,52.08,29.17
228,Clinical Social Work Journal,2004,0.219,0.25,0.848,123,49,59.18,18.37
229,Clinical Social Work Journal,2005,0.167,0.192,0.375,148,50,56,16
230,Clinical Social Work Journal,2006,0.233,0.243,0.542,254,52,42.31,19.23
231,Clinical Social Work Journal,2007,0.178,0.22,0.353,227,42,28.57,0
232,Clinical Social Work Journal,2008,0.271,0.58,0.837,278,55,43.64,5.45
233,Clinical Social Work Journal,2009,0.293,0.455,0.551,247,53,43.4,1.89
234,Clinical Social Work Journal,2010,0.354,0.623,0.974,328,58,44.83,0
235,Clinical Social Work Journal,2011,0.281,0.59,0.789,358,50,30,10
236,Clinical Social Work Journal,2012,0.23,0.418,0.488,446,49,42.86,0
237,Clinical Social Work Journal,2013,0.31,0.543,0.604,406,54,68.52,3.7
238,Clinical Social Work Journal,2014,NA,NA,NA,383,53,88.68,0
239,Clinical Social Work Journal,2015,NA,NA,NA,20,0,0,0
240,European Journal of Social Work,1996,NA,NA,NA,0,0,0,0
241,European Journal of Social Work,1997,NA,NA,NA,0,0,0,0
242,European Journal of Social Work,1998,NA,NA,NA,1,56,62.5,0
243,European Journal of Social Work,1999,NA,NA,NA,2,48,62.5,0
244,European Journal of Social Work,2000,0.12,NA,NA,3,51,68.63,0
245,European Journal of Social Work,2001,1.103,NA,NA,18,52,69.23,0
246,European Journal of Social Work,2002,0.121,NA,NA,16,37,72.97,0
247,European Journal of Social Work,2003,NA,NA,NA,25,53,67.92,0
248,European Journal of Social Work,2004,NA,NA,NA,26,40,67.5,0
249,European Journal of Social Work,2005,NA,NA,NA,35,35,37.14,0
250,European Journal of Social Work,2006,NA,NA,NA,57,44,52.27,0
251,European Journal of Social Work,2007,NA,NA,NA,60,50,44,0
252,European Journal of Social Work,2008,NA,NA,NA,130,57,56.14,1.75
253,European Journal of Social Work,2009,0.24,0.207,0.478,131,47,34.04,4.26
254,European Journal of Social Work,2010,0.44,0.355,0.647,161,52,48.08,0
255,European Journal of Social Work,2011,0.316,0.44,0.578,188,54,66.67,1.85
256,European Journal of Social Work,2012,0.525,0.585,0.682,227,48,45.83,4.17
257,European Journal of Social Work,2013,0.273,0.398,0.455,237,30,83.33,6.67
258,European Journal of Social Work,2014,NA,NA,NA,190,52,98.08,0
259,European Journal of Social Work,2015,NA,NA,NA,23,11,100,0
260,Health & Social Work,1996,NA,NA,NA,375,47,21.28,0
261,Health & Social Work,1997,NA,NA,NA,368,55,34.55,14.55
262,Health & Social Work,1998,NA,NA,NA,372,44,22.73,11.36
263,Health & Social Work,1999,0.618,0.888,0.759,388,41,14.63,4.88
264,Health & Social Work,2000,0.531,0.977,1.216,477,40,22.5,12.5
265,Health & Social Work,2001,0.304,0.647,0.909,443,37,8.11,13.51
266,Health & Social Work,2002,0.327,0.793,0.885,463,48,20.83,4.17
267,Health & Social Work,2003,0.308,0.628,0.528,527,41,12.2,26.83
268,Health & Social Work,2004,0.512,0.596,0.92,536,42,7.14,59.52
269,Health & Social Work,2005,0.348,0.777,0.776,657,42,0,45.24
270,Health & Social Work,2006,0.325,0.718,0.642,734,39,2.56,56.41
271,Health & Social Work,2007,0.408,0.943,1.02,783,45,13.33,24.44
272,Health & Social Work,2008,0.447,0.925,0.972,841,36,8.33,22.22
273,Health & Social Work,2009,0.413,0.95,0.855,802,38,13.16,15.79
274,Health & Social Work,2010,0.499,1.289,0.872,948,36,11.11,33.33
275,Health & Social Work,2011,0.4,1.126,0.909,897,37,16.22,56.76
276,Health & Social Work,2012,0.486,1.144,0.839,1111,25,28,16
277,Health & Social Work,2013,0.366,0.897,0.468,928,27,66.67,18.52
278,Health & Social Work,2014,NA,NA,NA,753,26,84.62,15.38
279,Health & Social Work,2015,NA,NA,NA,49,0,0,0
280,Indian Journal of Social Work,1996,NA,NA,NA,14,50,70,0
281,Indian Journal of Social Work,1997,NA,NA,NA,19,51,58.82,0
282,Indian Journal of Social Work,1998,NA,NA,NA,17,57,54.39,3.51
283,Indian Journal of Social Work,1999,0.113,0.018,0.067,42,49,71.43,6.12
284,Indian Journal of Social Work,2000,0.139,0.038,0.37,35,61,52.46,3.28
285,Indian Journal of Social Work,2001,0.1,0.009,0.041,48,54,61.11,0
286,Indian Journal of Social Work,2002,0.123,0.011,0.067,41,48,79.17,37.5
287,Indian Journal of Social Work,2003,0.141,0.074,0.207,41,42,76.19,11.9
288,Indian Journal of Social Work,2004,0.106,0.044,0.326,39,43,81.4,0
289,Indian Journal of Social Work,2005,0.1,0,0,40,41,75.61,9.76
290,Indian Journal of Social Work,2006,0.11,0.014,0.176,57,37,81.08,8.11
291,Indian Journal of Social Work,2007,0.1,0,0,47,48,83.33,0
292,Indian Journal of Social Work,2008,0.1,0.023,0.164,36,44,86.36,4.55
293,Indian Journal of Social Work,2009,0.101,0,0,41,42,85.71,2.38
294,Indian Journal of Social Work,2010,0.113,0.041,0.3,51,46,95.65,8.7
295,Indian Journal of Social Work,2011,0.11,0.021,0.16,33,41,87.8,7.32
296,Indian Journal of Social Work,2012,0.11,0.022,0.047,66,38,97.37,2.63
297,Indian Journal of Social Work,2013,0.1,0,0,52,29,100,6.9
298,Indian Journal of Social Work,2014,NA,NA,NA,26,0,0,0
299,Indian Journal of Social Work,2015,NA,NA,NA,2,0,0,0
300,International Social Work,1996,NA,NA,NA,50,43,39.53,0
301,International Social Work,1997,NA,NA,NA,59,44,40.91,11.36
302,International Social Work,1998,NA,NA,NA,52,50,42,4
303,International Social Work,1999,0.17,0.209,0.459,90,63,53.97,0
304,International Social Work,2000,0.211,0.27,0.68,98,61,52.46,0
305,International Social Work,2001,0.247,0.228,0.636,82,54,50,0
306,International Social Work,2002,0.254,0.284,0.621,112,60,55,16.67
307,International Social Work,2003,0.178,0.318,0.92,154,47,40.43,23.4
308,International Social Work,2004,0.192,0.202,0.335,145,38,15.79,50
309,International Social Work,2005,0.24,0.303,0.879,173,67,11.94,44.78
310,International Social Work,2006,0.245,0.281,0.473,239,78,25.64,20.51
311,International Social Work,2007,0.399,0.408,0.61,242,74,27.03,20.27
312,International Social Work,2008,0.374,0.413,0.543,368,77,28.57,20.78
313,International Social Work,2009,0.436,0.472,0.687,468,75,28,0
314,International Social Work,2010,0.425,0.488,0.574,455,70,31.43,0
315,International Social Work,2011,0.419,0.531,0.707,531,61,39.34,1.64
316,International Social Work,2012,0.811,1.019,1.106,818,53,41.51,3.77
317,International Social Work,2013,0.481,0.741,0.907,741,51,74.51,1.96
318,International Social Work,2014,NA,NA,NA,582,65,90.77,0
319,International Social Work,2015,NA,NA,NA,62,16,100,0
320,Journal of Ethnic & Cultural Diversity in Social Work,1996,NA,NA,NA,0,0,0,0
321,Journal of Ethnic & Cultural Diversity in Social Work,1997,NA,NA,NA,0,0,0,0
322,Journal of Ethnic & Cultural Diversity in Social Work,1998,NA,NA,NA,0,0,0,0
323,Journal of Ethnic & Cultural Diversity in Social Work,1999,NA,NA,NA,0,0,0,0
324,Journal of Ethnic & Cultural Diversity in Social Work,2000,NA,NA,NA,0,12,25,0
325,Journal of Ethnic & Cultural Diversity in Social Work,2001,NA,NA,NA,0,40,30,0
326,Journal of Ethnic & Cultural Diversity in Social Work,2002,NA,NA,NA,2,11,9.09,0
327,Journal of Ethnic & Cultural Diversity in Social Work,2003,NA,NA,NA,4,27,37.04,0
328,Journal of Ethnic & Cultural Diversity in Social Work,2004,NA,NA,NA,12,26,23.08,0
329,Journal of Ethnic & Cultural Diversity in Social Work,2005,NA,NA,NA,29,10,30,0
330,Journal of Ethnic & Cultural Diversity in Social Work,2006,0.103,0,0,43,27,14.81,7.41
331,Journal of Ethnic & Cultural Diversity in Social Work,2007,0.196,0.063,0.03,76,29,31.03,0
332,Journal of Ethnic & Cultural Diversity in Social Work,2008,0.141,0.161,0.205,81,25,32,8
333,Journal of Ethnic & Cultural Diversity in Social Work,2009,0.141,0.273,0.34,118,17,5.88,0
334,Journal of Ethnic & Cultural Diversity in Social Work,2010,0.194,0.298,0.218,133,20,40,0
335,Journal of Ethnic & Cultural Diversity in Social Work,2011,0.38,0.706,0.719,199,19,26.32,0
336,Journal of Ethnic & Cultural Diversity in Social Work,2012,0.33,0.577,0.658,199,18,44.44,0
337,Journal of Ethnic & Cultural Diversity in Social Work,2013,0.283,0.472,0.345,197,16,87.5,6.25
338,Journal of Ethnic & Cultural Diversity in Social Work,2014,NA,NA,NA,157,19,100,0
339,Journal of Ethnic & Cultural Diversity in Social Work,2015,NA,NA,NA,16,0,0,0
340,Journal of Evidence-Based Social Work,1996,NA,NA,NA,0,0,0,0
341,Journal of Evidence-Based Social Work,1997,NA,NA,NA,0,0,0,0
342,Journal of Evidence-Based Social Work,1998,NA,NA,NA,0,0,0,0
343,Journal of Evidence-Based Social Work,1999,NA,NA,NA,0,0,0,0
344,Journal of Evidence-Based Social Work,2000,NA,NA,NA,0,0,0,0
345,Journal of Evidence-Based Social Work,2001,NA,NA,NA,0,0,0,0
346,Journal of Evidence-Based Social Work,2002,NA,NA,NA,0,0,0,0
347,Journal of Evidence-Based Social Work,2003,NA,NA,NA,0,0,0,0
348,Journal of Evidence-Based Social Work,2004,NA,NA,NA,0,22,45.45,0
349,Journal of Evidence-Based Social Work,2005,NA,NA,NA,3,22,45.45,0
350,Journal of Evidence-Based Social Work,2006,NA,NA,NA,7,24,25,8.33
351,Journal of Evidence-Based Social Work,2007,0.116,0.13,0.382,20,22,40.91,18.18
352,Journal of Evidence-Based Social Work,2008,0.131,0.073,0.066,24,26,0,19.23
353,Journal of Evidence-Based Social Work,2009,0.258,0.317,0.467,40,26,23.08,0
354,Journal of Evidence-Based Social Work,2010,0.303,0.641,0.726,79,38,39.47,2.63
355,Journal of Evidence-Based Social Work,2011,0.17,0.405,0.328,85,30,46.67,23.33
356,Journal of Evidence-Based Social Work,2012,0.175,0.538,0.306,129,35,51.43,8.57
357,Journal of Evidence-Based Social Work,2013,0.234,0.512,0.506,160,47,76.6,25.53
358,Journal of Evidence-Based Social Work,2014,NA,NA,NA,170,34,88.24,0
359,Journal of Evidence-Based Social Work,2015,NA,NA,NA,11,0,0,0
360,Journal of Family Social Work,1996,NA,NA,NA,0,11,27.27,0
361,Journal of Family Social Work,1997,NA,NA,NA,0,25,12,0
362,Journal of Family Social Work,1998,NA,NA,NA,6,5,20,0
363,Journal of Family Social Work,1999,NA,NA,NA,2,15,26.67,0
364,Journal of Family Social Work,2000,NA,NA,NA,13,35,51.43,0
365,Journal of Family Social Work,2001,NA,NA,NA,16,34,17.65,0
366,Journal of Family Social Work,2002,NA,NA,NA,17,0,0,0
367,Journal of Family Social Work,2003,NA,NA,NA,18,21,9.52,0
368,Journal of Family Social Work,2004,NA,NA,NA,23,16,18.75,0
369,Journal of Family Social Work,2005,0.122,0,0,36,4,0,50
370,Journal of Family Social Work,2006,0.115,0,0,51,22,13.64,9.09
371,Journal of Family Social Work,2007,0.112,0.115,0.123,39,8,0,12.5
372,Journal of Family Social Work,2008,0.2,0.273,0.221,48,33,39.39,6.06
373,Journal of Family Social Work,2009,0.174,0.264,0.694,75,26,34.62,3.85
374,Journal of Family Social Work,2010,0.143,0.255,0.476,80,32,15.63,0
