"articleID","attributes","record"
338,"author","Chapin, Rosemary Kennedy"
339,"article","Surviving unemployment: Economic resources and job loss duration in blue-collar households."
339,"journal","Social Work"
339,"pubYear","1995"
339,"author","Sales, Esther"
340,"article","Social timing, life continuity, and life coherence: Implications for vocational change."
340,"journal","Social Work"
340,"pubYear","1995"
340,"author","Smallen, Joanne M."
395,"article","Health of spouse caregivers of dementia patients: The role of personality and social support."
395,"journal","Social Work"
395,"pubYear","1995"
395,"author","Monahan, Deborah J."
395,"author","Hooker, Karen"
396,"article","The other side of caring: Adult children with mental illness as supports to their mothers in later life."
396,"journal","Social Work"
396,"pubYear","1995"
396,"author","Greenberg, Jan Steven"
397,"article","Comparing the experiences of Black and White caregivers of dementia patients."
397,"journal","Social Work"
397,"pubYear","1995"
397,"author","Cox, Carole"
398,"article","The caregiver's memoir: A new look at family support."
398,"journal","Social Work"
398,"pubYear","1995"
398,"author","Burack-Weiss, Ann"
399,"article","Parent caregivers: A comparison of employed and not employed daughters."
399,"journal","Social Work"
399,"pubYear","1995"
399,"author","Barnes, Carla Leddy"
399,"author","Given, Barbara A."
399,"author","Given, Charles William"
400,"article","Addressing the psychospiritual distress of death as reality: A transpersonal approach."
400,"journal","Social Work"
400,"pubYear","1995"
400,"author","Smith, Elizabeth D."
401,"article","Advance directives for elderly people: Worthwhile cause or wasted effort?"
401,"journal","Social Work"
401,"pubYear","1995"
401,"author","Sansone, Paulette"
401,"author","Phillips, Michael"
402,"article","Empowerment in social work practice with older women."
402,"journal","Social Work"
402,"pubYear","1995"
402,"author","Browne, Colette V."
403,"article","Health care and public transportation use by poor and frail elderly people."
403,"journal","Social Work"
403,"pubYear","1995"
403,"author","Rittner, Barbara"
403,"author","Kirk, Alan B."
404,"article","Screening for depression among a well elderly population."
404,"journal","Social Work"
404,"pubYear","1995"
404,"author","Dorfman, Rachelle A."
404,"author","Lubben, James E."
404,"author","Mayer-Oakes, Allison"
404,"author","Atchison, Kathryn"
404,"author","Schweitzer, Stuart O."
404,"author","De Jong, Fred J."
404,"author","Matthias, Ruth E."
405,"article","Pets, attachment, and well-being across the life cycle."
405,"journal","Social Work"
405,"pubYear","1995"
405,"author","Sable, Pat"
406,"article","Reframing dependence in old age: A positive transition for families."
406,"journal","Social Work"
406,"pubYear","1995"
406,"author","Motenko, Aluma Kopito"
406,"author","Greenberg, Sarah"
428,"article","The politics of empowerment."
428,"journal","Social Work"
428,"pubYear","1995"
428,"author","Zippay, Allison"
429,"article","Effects of psychosocial interactions at a cellular level."
429,"journal","Social Work"
429,"pubYear","1995"
429,"author","Nee, Linda E."
430,"article","The organizational context of empowerment practice: Implications for social work administration."
430,"journal","Social Work"
430,"pubYear","1995"
430,"author","Gutiérrez, Lorraine"
430,"author","GlenMaye, Linnea"
430,"author","DeLois, Kate"
431,"article","The Americans with Disabilities Act: Implications for social services."
431,"journal","Social Work"
431,"pubYear","1995"
431,"author","Orlin, Malinda"
432,"article","Perceptions of social support and psychological adaptation to sexually acquired HIV among White and African American men."
432,"journal","Social Work"
432,"pubYear","1995"
432,"author","Gant, Larry M."
432,"author","Ostrow, David G."
433,"article","Hard-of-hearing or deaf: Issues of ears, language, culture, and identity."
433,"journal","Social Work"
433,"pubYear","1995"
433,"author","Luey, Helen Sloss"
433,"author","Glass, Laurel"
433,"author","Elliot, Holly"
434,"article","Self-determination from a Pacific perspective."
434,"journal","Social Work"
434,"pubYear","1995"
434,"author","Ewalt, Patricia L."
434,"author","Mokuau, Noreen"
435,"article","RAP: A framework for leadership of multiracial groups."
435,"journal","Social Work"
435,"pubYear","1995"
435,"author","Davis, Larry E."
435,"author","Galinsky, Maeda J."
435,"author","Schopler, Janice H."
436,"article","Divisive dichotomies and mother-headed families: The power of naming."
436,"journal","Social Work"
436,"pubYear","1995"
436,"author","Kissman, Kris"
437,"article","Solution-focused social work: Metamessages to students in higher education opportunity programs."
437,"journal","Social Work"
437,"pubYear","1995"
437,"author","Baker, Mary Robinson"
437,"author","Steiner, Joseph R."
438,"article","Deaf and hard-of-hearing clients: Some legal implications."
438,"journal","Social Work"
438,"pubYear","1995"
438,"author","McEntee, Maureen L."
439,"article","Effective coping strategies of African Americans."
439,"journal","Social Work"
439,"pubYear","1995"
439,"author","Daly, Alfrieda"
439,"author","Jennings, Jeanette"
439,"author","Beckett, Joyce O."
439,"author","Leashore, Bogart R."
440,"article","The endangerment of African American men: An appeal for social work action."
440,"journal","Social Work"
440,"pubYear","1995"
440,"author","Allen-Meares, Paula"
440,"author","Burman, Sondra"
580,"article","Issues in serving the forensic client."
580,"journal","Social Work"
580,"pubYear","1995"
580,"author","Solomon, Phyllis"
580,"author","Draine, Jeffrey"
581,"article","The psychosocial issues of women serving time in jail."
581,"journal","Social Work"
581,"pubYear","1995"
581,"author","Singer, Mark I."
581,"author","Bussey, Janet"
581,"author","Song, Li-Yu"
581,"author","Lunghofer, Lisa"
582,"article","Skills-training groups to reduce HIV transmission and drug use among methadone patients."
582,"journal","Social Work"
582,"pubYear","1995"
582,"author","Schilling, Robert F."
582,"author","El-Bassel, Nabila"
582,"author","Hadden, Bernadette"
582,"author","Gilbert, Louisa"
583,"article","Parenting groups for recovering addicts in a day treatment center."
583,"journal","Social Work"
583,"pubYear","1995"
583,"author","Plasse, Beatrice Rogoff"
584,"article","Gender differences in drug addiction and treatment: Implications for social work intervention with substance-abusing women."
584,"journal","Social Work"
584,"pubYear","1995"
584,"author","Nelson-Zlupko, Lani"
584,"author","Kauffman, Eda"
584,"author","Dore, Martha Morrison"
585,"article","Morning Support Group: Use of a triweekly support group in outpatient treatment of chemical dependence."
585,"journal","Social Work"
585,"pubYear","1995"
585,"author","Lenihan, Melissa Weintraub"
586,"article","Working with resistant drug abusers."
586,"journal","Social Work"
586,"pubYear","1995"
586,"author","Barber, James G."
587,"article","Searching for solutions to alcohol and other drug abuse during pregnancy: Ethics, values, and constitutional principles."
587,"journal","Social Work"
587,"pubYear","1995"
587,"author","Andrews, Arlene Bowers"
587,"author","Patterson, Elizabeth G."
588,"article","Traumatic event debriefing: Service delivery designs and the role of social work."
588,"journal","Social Work"
588,"pubYear","1995"
588,"author","Bell, Janet L."
589,"article","Injection drug users, crack-cocaine users, and human services utilization: An exploratory study."
589,"journal","Social Work"
589,"pubYear","1995"
589,"author","Ashery, Rebecca Sager"
589,"author","Carlson, Robert G."
589,"author","Falck, Russel S."
589,"author","Siegal, Harvey A."
590,"article","Multiple stressor debriefing and the American Red Cross: The East Bay Hills fire experience."
590,"journal","Social Work"
590,"pubYear","1995"
590,"author","Armstrong, Keith R."
590,"author","Lund, Patricia E."
590,"author","McWright, Laurie Townsend"
590,"author","Tichenor, Victoria"
591,"article","Posttraumatic stress symptomatology: Similarities and differences between Vietnam veterans and adult survivors of childhood sexual abuse."
591,"journal","Social Work"
591,"pubYear","1995"
591,"author","McNew, Judith A."
591,"author","Abell, Neil"
654,"article","Homeless children: Are they different from other low-income children?"
654,"journal","Social Work"
654,"pubYear","1994"
654,"author","Ziesemer, Carol"
654,"author","Marcoux, Louise"
654,"author","Marwell, Barbara E."
655,"article","A community's response to supported employment: Implications for social work practice."
655,"journal","Social Work"
655,"pubYear","1994"
655,"author","Tice, Carolyn"
659,"article","Social services for battered women: Are they adequate, accessible, and appropriate?"
659,"journal","Social Work"
659,"pubYear","1994"
659,"author","Davis, Liane V."
659,"author","Hagen, Jan L."
659,"author","Early, Theresa J."
664,"article","'Shadows of the heart': A dramatic video for the treatment resistance of spouse abusers."
664,"journal","Social Work"
664,"pubYear","1994"
664,"author","Stosny, Steven"
665,"article","Emotional concerns and treatment of male partners of female sexual abuse survivors."
665,"journal","Social Work"
665,"pubYear","1994"
665,"author","Chauncey, Susan"
666,"article","A critical analysis of the concept of codependency."
666,"journal","Social Work"
666,"pubYear","1994"
666,"author","Anderson, Sandra C."
667,"article","Beyond the pathologizing of nonwork: Alternative activities in a street community."
667,"journal","Social Work"
667,"pubYear","1994"
667,"author","Wagner, David"
668,"article","Comparison of White and nonWhite homeless men and women."
668,"journal","Social Work"
668,"pubYear","1994"
668,"author","North, Carol S."
668,"author","Smith, Elizabeth M."
697,"article","Making it work: Preventive mental health care for disadvantaged preschoolers."
697,"journal","Social Work"
697,"pubYear","1994"
697,"author","Edlefsen, Mary"
697,"author","Baird, Margaret"
698,"article","Social work services in schools: A national study of entry-level tasks."
698,"journal","Social Work"
698,"pubYear","1994"
698,"author","Allen-Meares, Paula"
700,"article","Relationship competencies in child welfare services."
700,"journal","Social Work"
700,"pubYear","1994"
700,"author","Drake, Brett"
702,"article","Institutionalizing children and adolescents in private psychiatric hospitals."
702,"journal","Social Work"
702,"pubYear","1994"
702,"author","Eamon, Mary Keegan"
703,"article","Shared family care: Child protection and family preservation."
703,"journal","Social Work"
703,"pubYear","1994"
703,"author","Barth, Richard P."
704,"article","Maternal substance abuse: Protecting the child, preserving the family."
704,"journal","Social Work"
704,"pubYear","1994"
704,"author","Tracy, Elizabeth M."
705,"article","'Just say no' may not be enough to prevent child sexual abuse."
705,"journal","Social Work"
705,"pubYear","1994"
705,"author","Sang, Dorothy"
715,"article","The impact of previous sexual abuse on children's adjustment in adoptive placement."
715,"journal","Social Work"
715,"pubYear","1994"
715,"author","Smith, Susan Livingston"
715,"author","Howard, Jeanne A."
716,"article","Risk factors for suicide among gay, lesbian, and bisexual youths."
716,"journal","Social Work"
716,"pubYear","1994"
716,"author","Proctor, Curtis D."
716,"author","Groze, Victor K."
718,"article","Reunions between adoptees and birth parents: The adoptive parents' view."
718,"journal","Social Work"
718,"pubYear","1994"
718,"author","Silverman, Phyllis R."
718,"author","Campbell, Lee"
718,"author","Patti, Patricia"
719,"article","Parenting seminars for divorcing parents."
719,"journal","Social Work"
719,"pubYear","1994"
719,"author","Frieman, Barry B."
719,"author","Garon, Risa"
719,"author","Mandell, Barbara"
744,"article","Does mentorship among social workers make a difference? An empirical investigation of career outcomes."
744,"journal","Social Work"
744,"pubYear","1994"
744,"author","Collins, Pauline M."
745,"article","Adapting social work values to the corrections environment."
745,"journal","Social Work"
745,"pubYear","1994"
745,"author","Severson, Margaret M."
746,"article","Social work and the development of a smoke-free society."
746,"journal","Social Work"
746,"pubYear","1994"
746,"author","Valentich, Mary"
747,"article","The logic of feminist standpoint theory for social work research."
747,"journal","Social Work"
747,"pubYear","1994"
747,"author","Swigonski, Mary E."
748,"article","The problem of certainty: Clinical social work in the postmodern era."
748,"journal","Social Work"
748,"pubYear","1994"
748,"author","Pozatek, Ellie"
749,"article","Avoiding errors in clinical prediction."
749,"journal","Social Work"
749,"pubYear","1994"
749,"author","Murdach, Allison D."
750,"article","From technical rationality to participating consciousness."
750,"journal","Social Work"
750,"pubYear","1994"
750,"author","Gowdy, Elizabeth A."
751,"article","A case for case studies in social work research."
751,"journal","Social Work"
751,"pubYear","1994"
751,"author","Gilgun, Jane F."
801,"article","The challenge of racial difference: Skills for clinical practice."
801,"journal","Social Work"
801,"pubYear","1994"
801,"author","Proctor, Enola K."
801,"author","Davis, Larry E."
802,"article","Psychiatric social work and socialism: Problems and potential in China."
802,"journal","Social Work"
802,"pubYear","1994"
802,"location","China"
802,"author","Pearson, Veronica"
802,"author","Phillips, Michael"
803,"article","Not simply 'Asian Americans': Periodical literature review on Asians and Pacific Islanders."
803,"journal","Social Work"
803,"pubYear","1994"
803,"author","Fong, Rowena"
803,"author","Mokuau, Noreen"
804,"article","Assessing client strengths: Clinical assessment for client empowerment."
804,"journal","Social Work"
804,"pubYear","1994"
804,"author","Cowger, Charles D."
805,"article","Providing services to Hispanic/Latino populations: Profiles in diversity."
805,"journal","Social Work"
805,"pubYear","1994"
805,"author","Castex, Graciela M."
806,"article","The impact of hate violence on victims: Emotional and behavioral responses to attacks."
806,"journal","Social Work"
806,"pubYear","1994"
806,"author","Barnes, Arnold"
806,"author","Ephross, Paul H."
807,"article","Social integration of Salvadoran refugees."
807,"journal","Social Work"
807,"pubYear","1994"
807,"author","Jacob, André G."
843,"article","Are the rights of people with mental illness still important?"
843,"journal","Social Work"
843,"pubYear","1994"
843,"author","Wilk, Ruta J."
844,"article","Bereavement services for families and peers of deceased residents of psychiatric institutions."
844,"journal","Social Work"
844,"pubYear","1994"
844,"author","Fauri, David P."
844,"author","Grimes, Dana R."
845,"article","Transitions in psychiatric inpatient clinical social work."
845,"journal","Social Work"
845,"pubYear","1994"
845,"author","Farley, Joan E."
846,"article","The managerial nature of case management."
846,"journal","Social Work"
846,"pubYear","1994"
846,"author","Wolk, James L."
846,"author","Sullivan, William P."
846,"author","Hartmann, David J."
847,"article","Consumer-centered social work practice: Restoring client self-determination."
847,"journal","Social Work"
847,"pubYear","1994"
847,"author","Tower, Kristine D."
848,"article","Our clients, ourselves: The spiritual perspective and social work practice."
848,"journal","Social Work"
848,"pubYear","1994"
848,"author","Sermabeikian, Patricia"
849,"article","Dual relationships and professional boundaries."
849,"journal","Social Work"
849,"pubYear","1994"
849,"author","Kagle, Jill Doner"
849,"author","Giebelhausen, Pam Northrup"
850,"article","Childhood suicide and myths surrounding it."
850,"journal","Social Work"
850,"pubYear","1994"
850,"author","Greene, Dorothea B."
851,"article","Grief: The unrecognized parental response to mental illness in a child."
851,"journal","Social Work"
851,"pubYear","1994"
851,"author","MacGregor, Peggy"
852,"article","Assessing and changing self-concept: Guidelines from the memory system."
852,"journal","Social Work"
852,"pubYear","1994"
852,"author","Nurius, Paula S."
1027,"article","Licensure of sheltered-care facilities: Does it assure quality?"
1027,"journal","Social Work"
1027,"pubYear","1994"
1027,"author","Segal, Steven P."
1027,"author","Hwang, Sung-Dong"
1036,"article","A group model for gay and lesbian clients with chronic mental illness."
1036,"journal","Social Work"
1036,"pubYear","1994"
1036,"author","Ball, Steven"
1037,"article","An assessment of practitioner cross-racial treatment experiences."
1037,"journal","Social Work"
1037,"pubYear","1994"
1037,"author","Davis, Larry E."
1037,"author","Gelsomino, Joe"
1038,"article","Neglected victims of murder: Children's witness to parental homicide."
1038,"journal","Social Work"
1038,"pubYear","1994"
1038,"author","Burman, Sondra"
1038,"author","Allen-Meares, Paula"
1039,"article","Child custody decisions in families experiencing woman abuse."
1039,"journal","Social Work"
1039,"pubYear","1994"
1039,"author","Saunders, Daniel G."
1040,"article","The disenganged noncustodial father: Implications for social work practice with the divorced familiy."
1040,"journal","Social Work"
1040,"pubYear","1994"
1040,"author","Kruk, Edward"
1042,"article","Life themes of native Hawaiian female elders: Resources for cultural preservation."
1042,"journal","Social Work"
1042,"pubYear","1994"
1042,"location","US"
1042,"author","Mokuau, Noreen"
1042,"author","Browne, Colette"
1043,"article","The paradox of the advantaged elder and the feminization of poverty."
1043,"journal","Social Work"
1043,"pubYear","1994"
1043,"author","Gonyea, Judith G."
1090,"article","Social work values and pacifism: Opposition to war as a professional responsibility."
1090,"journal","Social Work"
1090,"pubYear","1993"
1090,"author","Verschelden, Cia"
1091,"article","Remote practice and culture shock: Social workers moving to isolated northern regions."
1091,"journal","Social Work"
1091,"pubYear","1993"
1091,"location","Canada"
1091,"author","Zapf, Michael K."
1094,"article","Discharge planning revisited: What do social workers actually do in discharge planning?"
1094,"journal","Social Work"
1094,"pubYear","1993"
1094,"author","Kadushin, Goldie"
1094,"author","Kulys, Regina"
1095,"article","Empowerment and self-help agency practice for people with mental disabilities."
1095,"journal","Social Work"
1095,"pubYear","1993"
1095,"author","Segal, Steven P."
1095,"author","Silverman, Carol"
1095,"author","Temkin, Tanya"
1096,"article","Research strategies for consumer empowerment of people with severe mental illness."
1096,"journal","Social Work"
1096,"pubYear","1993"
1096,"author","Rapp, Charles A."
1096,"author","Shera, Wes"
1096,"author","Kisthardt, Walter"
1097,"article","Social work with gay and lesbian adolescents."
1097,"journal","Social Work"
1097,"pubYear","1993"
1097,"author","Morrow, Deana F."
1098,"article","Managing manipulative behavior in the helping relationship."
1098,"journal","Social Work"
1098,"pubYear","1993"
1098,"author","Hepworth, Dean H."
1099,"article","Frames of reference: The effects of ethnocentric map projections on professional practice."
1099,"journal","Social Work"
1099,"pubYear","1993"
1099,"author","Castex, Graciela M."
1102,"article","Understanding death and grief for children three and younger."
1102,"journal","Social Work"
1102,"pubYear","1993"
1102,"author","Norris-Shortle, Carole"
1102,"author","Young, Patricia A."
1102,"author","Williams, May A."
1104,"article","Chronic child neglect in perspective."
1104,"journal","Social Work"
1104,"pubYear","1993"
1104,"author","Nelson, Kristine E."
1104,"author","Saunders, Edward J."
1104,"author","Landsman, Miriam J."
1105,"article","Families with children with emotional disorders: A review of the literature."
1105,"journal","Social Work"
1105,"pubYear","1993"
1105,"author","Early, Theresa J."
1105,"author","Poertner, John"
1127,"article","Alcohol and other drug abuse among social work colleagues and their families: Impact on practice."
1127,"journal","Social Work"
1127,"pubYear","1993"
1127,"author","Fewell, Christine H."
1127,"author","King, Barbara L."
1127,"author","Weinstein, Dava L."
1128,"article","Cocaine treatment and outcome."
1128,"journal","Social Work"
1128,"pubYear","1993"
1128,"author","Nunes-Dinis, Maria"
1128,"author","Barth, Richard P."
1129,"article","Childhood risk factors in dually diagnosed homeless adults."
1129,"journal","Social Work"
1129,"pubYear","1993"
1129,"author","Blankertz, Laura E."
1129,"author","Cnaan, Ram A."
1129,"author","Freedman, Erica"
1130,"article","Evaluating effectiveness from the practitioner perspective."
1130,"journal","Social Work"
1130,"pubYear","1993"
1130,"author","Elks, Martin A."
1130,"author","Kirkhart, Karen E."
1131,"article","Transpersonal social work: A theory for the 1990s."
1131,"journal","Social Work"
1131,"pubYear","1993"
1131,"author","Cowley, Au-Deane S."
1132,"article","Hypnosis: A neglected tool for client empowerment."
1132,"journal","Social Work"
1132,"pubYear","1993"
1132,"author","Winsor, Roswitha M."
1133,"article","In defense of long-term treatment: On the vanishing holding environment."
1133,"journal","Social Work"
1133,"pubYear","1993"
1133,"author","Meyer, William S."
1170,"article","Influence of education on self-perceived attitudes about HIV/AIDS among human services providers."
1170,"journal","Social Work"
1170,"pubYear","1993"
1170,"author","Riley, Joyce L."
1170,"author","Greene, Roberta R."
1171,"article","Support systems and stress reduction among workers caring for dependent parents."
1171,"journal","Social Work"
1171,"pubYear","1993"
1171,"author","Lechner, Viola M."
1172,"article","Judgments of personal responsibility for HIV infection: An attributional analysis."
1172,"journal","Social Work"
1172,"pubYear","1993"
1172,"author","McDonell, James R."
1173,"article","Confronting the reality of collaborative practice research: Issues of practice, design, measurement, and team development."
1173,"journal","Social Work"
1173,"pubYear","1993"
1173,"author","Galinsky, Maeda J."
1173,"author","Turnbull, Joanne E."
1173,"author","Meglin, Diane E."
1173,"author","Wilner, Margaret E."
1174,"article","Testing the sexually abused child for the HIV antibody: Issues for the social worker."
1174,"journal","Social Work"
1174,"pubYear","1993"
1174,"author","Gellert, George A."
1174,"author","Berkowitz, Carol D."
1174,"author","Gellert, Michael J."
1174,"author","Durfee, Michael J."
1175,"article","Reconstruing codependency using self-in-relation theory: A feminist perspective."
1175,"journal","Social Work"
1175,"pubYear","1993"
1175,"author","Collins, Barbara G."
1176,"article","The myth of Black violence."
1176,"journal","Social Work"
1176,"pubYear","1993"
1176,"author","Stark, Evan"
1177,"article","Differences among adolescent, young adult, and adult callers of suicide help lines."
1177,"journal","Social Work"
1177,"pubYear","1993"
1177,"author","de Anda, Diane"
1177,"author","Smith, Melanie A."
1178,"article","Parental employment and child care trends: Some critical issues and suggested policies."
1178,"journal","Social Work"
1178,"pubYear","1993"
1178,"author","Chilman, Catherine S."
1213,"article","Burnout in gerontological social work."
1213,"journal","Social Work"
1213,"pubYear","1993"
1213,"author","Poulin, John E."
1213,"author","Walter, Carolyn A."
1214,"article","Military-induced family separation: A stress reduction intervention."
1214,"journal","Social Work"
1214,"pubYear","1993"
1214,"author","Black, William G."
1215,"article","High-risk indicators for family involvement in social work in health care: A review of the literature."
1215,"journal","Social Work"
1215,"pubYear","1993"
1215,"author","Bergman, Ann"
1215,"author","Wells, Lilian"
1215,"author","Bogo, Marion"
1215,"author","Abbey, Sharon"
1215,"author","Chandler, V."
1215,"author","Embleton, L."
1215,"author","Guirgis, S."
1215,"author","Huot, A."
1215,"author","McNeill, T."
1215,"author","Prentice, L."
1216,"article","The social€nvironmental context of child clients: An empirical exploration."
1216,"journal","Social Work"
1216,"pubYear","1993"
1216,"author","Proctor, Enola K."
1216,"author","Volser, Nancy R."
1216,"author","Sirles, Elizabeth A."
1217,"article","Sexual abuse or Tourette syndrome?"
1217,"journal","Social Work"
1217,"pubYear","1993"
1217,"author","Comings, David E."
1217,"author","Comings, Brenda G."
1218,"article","Reasonable efforts for children with disabilities: The parents' perspective."
1218,"journal","Social Work"
1218,"pubYear","1993"
1218,"author","Petr, Christopher G."
1218,"author","Barney, David D."
1219,"article","Placing an infant for adoption: The experiences of young birthmothers."
1219,"journal","Social Work"
1219,"pubYear","1993"
1219,"author","Cushman, Linda F."
1219,"author","Kalmuss, Debra"
1219,"author","Namerow, Pearila B."
1220,"article","Perceived problems and service delivery for Korean immigrants."
1220,"journal","Social Work"
1220,"pubYear","1993"
1220,"author","Nah, Kyung-hee"
1262,"article","Suicide prevention: A classroom presentation to adolescents."
1262,"journal","Social Work"
1262,"pubYear","1993"
1262,"author","Ciffone, Jerry"
1263,"article","Classification and correlates of ethical dilemmas in hospital social work."
1263,"journal","Social Work"
1263,"pubYear","1993"
1263,"author","Proctor, Enola K."
1263,"author","Morrow-Howell, Nancy"
1263,"author","Lott, Cynthia L."
1264,"article","Role conflict: Cause of burnout or energizer?"
1264,"journal","Social Work"
1264,"pubYear","1993"
1264,"author","Jones, Martha L."
1265,"article","Effects of social support and undermining on African American workers' perceptions of coworker and supervisor relationships and psychological well-being."
1265,"journal","Social Work"
1265,"pubYear","1993"
1265,"author","Gant, Larry M."
1265,"author","Nagda, Biren A."
1265,"author","Brabson, Howard V."
1265,"author","Jayaratne, Srinika"
1265,"author","Chess, W. A."
1265,"author","Singh, A."
1267,"article","Orienting social work employees in interdisciplinary settings: Shaping professional and organizational perspectives."
1267,"journal","Social Work"
1267,"pubYear","1993"
1267,"author","Abramson, Julie S."
1268,"article","Social dimensions of the environmental crisis: Challenges for social work."
1268,"journal","Social Work"
1268,"pubYear","1993"
1268,"author","Hoff, Marie D."
1268,"author","Polack, Robert J."
1272,"article","Facilitating support groups for professionals working with people with AIDS."
1272,"journal","Social Work"
1272,"pubYear","1993"
1272,"author","Grossman, Arnold H."
1272,"author","Silverstein, Charles"
1438,"article","Crime victims and offenders in mediation: An emerging area of social work practice."
1438,"journal","Social Work"
1438,"pubYear","1993"
1438,"author","Umbreit, Mark S."
1439,"article","Interdisciplinary coleadership of high school groups for dropout prevention: Practice issues."
1439,"journal","Social Work"
1439,"pubYear","1993"
1439,"author","Arons, RoseMarie D."
1439,"author","Schwartz, Florence S."
1442,"article","Developing and testing a practice theory: An interactional perspective."
1442,"journal","Social Work"
1442,"pubYear","1993"
1442,"author","Shulman, Lawrence"
1444,"article","Older workers and the workplace: A new challenge for occupational social work."
1444,"journal","Social Work"
1444,"pubYear","1993"
1444,"author","Mor-Barak, Michàl E."
1444,"author","Tynan, Margaret"
1445,"article","The AFDC conundrum: A new look at an old institution."
1445,"journal","Social Work"
1445,"pubYear","1993"
1445,"author","Liebmann, George W."
1446,"article","The right of psychiatric patients to refuse medication: Where should social workers stand?"
1446,"journal","Social Work"
1446,"pubYear","1993"
1446,"author","Bentley, Kia J."
1447,"article","Munchausen syndrome by proxy: Social work's role."
1447,"journal","Social Work"
1447,"pubYear","1993"
1447,"author","Mercer, Susan O."
1447,"author","Perdue, Jeanette D."
1448,"article","Open adoption of infants: Adoptive parents' perceptions of advantages and disadvantages."
1448,"journal","Social Work"
1448,"pubYear","1993"
1448,"author","Siegel, Deborah H."
1449,"article","Black, single, working mothers in poverty: Preferences for employment, well-being, and perceptions of preschool-age children."
1449,"journal","Social Work"
1449,"pubYear","1993"
1449,"author","Jackson, Aurora P."
1450,"article","Diversity, early socialization, and temporal development: The dual perspective revisited."
