"","articleID","attributes","record"
"66",10842,"article","'Ah cha'! The racial discrimination of Pakistani minority communities in Hong Kong: An analysis of multiple, intersecting oppressions."
"67",15512,"article","'Allowed to be there': The wider family and child protection."
"68",54080,"article","'Anti-oppressive practice': emancipation or appropriation?"
"69",49051,"article","'Anti-oppressiveness': critical comments on a discourse and its context."
"70",22713,"article","'Are you beginning to see a pattern here?' Family and medical discourses shape the story of Black infant mortality."
"71",15368,"article","'Baptism of fire': The first year in the life of a newly qualified social worker."
"72",17023,"article","'Becoming participant': Problematizing 'informed consent' in paticipatory research with young people in care."
"73",24359,"article","'Being Indian,' 'being American': A balancing act or a creative blend?"
"74",121823,"article","'Being Is Not Syntactical': Ethics as Intensities"
"75",766,"article","'Betrayal and repetition: Understanding aggression in sexually abused girls': Response."
"76",120049,"article","'Boundaries of Sexual Safety': Men Who Have Sex with Men (MSM) and HIV/AIDS in Addis Ababa"
"77",16845,"article","'Building Jerusalem': Cultural relevance of social work education and practice in Botswana."
"78",21159,"article","'Building bridges': A case study of a collaborative research process."
"79",18780,"article","'Building our own monument': A social action group revisited."
"80",119031,"article","'Businessology' and Social Work"
"81",12035,"article","'But I'm too stressed to learn about groups!': Using stress-management groups to teach group work skills."
"82",14716,"article","'Call it personalisation if you like': The realities and dilemmas of organising care in a small rural community."
"83",22733,"article","'Can I come home?' The experiences of young runaways contacting the Message Home helpline."
"84",19808,"article","'Caring for You, Caring for Me': A Ten-Year Caregiver Educational Initiative of the Rosalynn Carter Institute for Human Development."
"85",24681,"article","'Cast adrift': The experience of completing treatment among women with early stage breast cancer."
"86",15089,"article","'Child in need' plans: Tools for family empowerment."
"87",24521,"article","'Children in need' or 'young offenders'? Hardening ideology, organizational change and new challenges for social work with children in trouble."
"88",23477,"article","'Contact irregular': A qualitative analysis of the impact of visiting patterns of natural parents on foster placements."
"89",21335,"article","'Curiously Uninvolved': Social Work and Protest against the War in Vietnam."
"90",19510,"article","'Dad, where are we going to live now?' Exploring fathers' experiences of homelessness."
"91",20513,"article","'Dealing With It': Experiences of Young Fathers in and Leaving Care."
"92",85792,"article","'Did you see that, Mom?': Social Looking in Three-Year-Old Boys."
"93",24751,"article","'Dime con quien andas': Notions of Chicano and Mexican American families."
"94",10517,"article","'Do they see nothing wrong with this?': Bullying, bystander complicity, and the role of homophobic bias in the Tyler Clementi case."
"95",122457,"article","'Doing' Social Work: Critical Considerations on Theory and Practice in Social Work"
"96",253,"article","'Don't ask, don't tell' and child welfare."
"97",24439,"article","'Don't shake the baby': Towards a prevention strategy."
"98",22260,"article","'Ending Welfare as We Know It' in 1960: Louisiana's Suitable Home Law."
"99",1975,"article","'Entering the developmental spiral': The Work of Michael F. Basch applied to clinical social work."
"100",21114,"article","'Everybody puts a lot into it!' Single session contacts in hospital social work."
"101",18110,"article","'Everyone started shouting': Making connections between the process of family group conferences and family therapy practice."
"102",14757,"article","'Everything has changed': Narratives of the Vietnamese American community in Post-Katrina Mississippi."
"103",2100,"article","'Far too little, far too slow': Toward a new and immediate strategy of rehabilitation for the elderly visually handicapped."
"104",26591,"article","'For kids only': Development of a program for children from families with a cancer patient."
"105",22712,"article","'For the family': Asian immigrant women's triple day."
"106",17406,"article","'For the sake of the children': Making sense of children and childhood in the context of child protection."
"107",122358,"article","'Fragmented authoritarianism' -- the facilitator behind the Chinese reform miracle: a case study in central China"
"108",25123,"article","'Friends in need': Designing and implementing a psychoeducational group for school children from drug-involved families."
"109",38318,"article","'From the frying pan into the fire': a case study of Rwandan refugees."
"110",85734,"article","'Funny Face': Shareware for child counseling and play therapy."
"111",25571,"article","'Gathering the spirit' at First Baptist Church: Spirituality as a protective factor in the lives of African American children."
"112",15557,"article","'Get Up. Stand Up.' Riding to resilience on a surfboard."
"113",767,"article","'Getting even': Clinical considerations of adaptive and maladaptive vengeance."
"114",18502,"article","'Getting to the root of problems': The Role of Systemic ideas in helping social work students to develop relationship-based Practice."
"115",24347,"article","'Give me strengths!' Evaluating the effectiveness of a graduate level HBSE course."
"116",21544,"article","'Given up hope of dying': A child protection approach to deliberate self-harm in adolescents admitted to a paediatric ward."
"117",18187,"article","'God' and other 'do-gooders': A comparison of the regulation of services provided by general practitioners and social workers in England."
"118",24580,"article","'Good lesbian, bad lesbian…': Regulating heterosexuality in fostering and adoption assessments."
"119",16389,"article","'Hanging on a little thin line': Barriers to progression and retention in social work education."
"120",23329,"article","'He survives everything': A latency-aged child with play disruption in the face of trauma and early object loss."
"121",24985,"article","'He's not Mr. Right, he's more like Mr. Now' Patrifocal and matrifocal discourses among homeless mothers in Kentucky."
"122",36821,"article","'He's not my carer—he's my husband': personal and policy constructions of care in mental health."
"123",14452,"article","'Highly qualified' school social workers."
"124",15220,"article","'His mam, my dad, my girlfriend, loads of people used to bring him up': The value of social support for (ex) offender fathers."
"125",21695,"article","'How come I don't get asked no questions?' Researching 'hard to reach' children and teenagers."
"126",18942,"article","'How do I view my sister?' Stereotypic views of African American women and their potential to impact intimate partnerships."
"127",12132,"article","'How do you feel about studying social work?'—Social work students in Greece: Demands, support, feelings about their studies and attitudes towards themselves."
"128",23900,"article","'How low can you go?' Dilemmas of social work with asylum seekers in London."
"129",4797,"article","'How to Get Out and Stay Out': An educational videodisc for the chronically mentally ill."
"130",924,"article","'How to get out and stay out: The story of Cathy': An interactive videodisc simulation for psychiatric wellness education."
"131",20923,"article","'I Got Married to Get Free of Home': Young Women Living in Poverty in Israel."
"132",10307,"article","'I am not who I thought I was': Use of grief work to address disrupted identity among Hispanic adolescent immigrants."
"133",13788,"article","'I am the face of success': Peer mentors in child welfare."
"134",2523,"article","'I beg to differ': Conflict in the interdisciplinary team."
"135",23099,"article","'I cannot see flowers but I can smell them': The relation of age and gender to self-reported coping strategies among older adults with visual impairment."
"136",17540,"article","'I cant stop pulling my hair!' using numbing cream as an adjunct treatment for trichotillomania."
"137",12066,"article","'I didn't know I could turn colors': Health problems and health care experiences of women strangled by an intimate partner."
"138",21379,"article","'I don't have a father'."
"139",122398,"article","'I had no choice because otherwise I was getting beat': Sexual Violence in intimate relationships"
"140",15033,"article","'I know how I feel': Listening to young people with life-limiting conditions who have learning and communication impairments."
"141",15554,"article","'I made some mistakes... But i love them dearly' the views of parents of children in informal kinship care."
"142",26022,"article","'I needed to be told that I hadn't failed': Experiences of violence against probation staff and of agency support."
"143",122446,"article","'I once knew a team where all the workers called the manager 'mother' Some reflections on supervision within an integrated leadership and management programme"
"144",23259,"article","'I raised my kids on the bus': Transit shift workers' coping strategies for parenting."
"145",23930,"article","'I shout with fear at night': Understanding the traumatic experiences of refugees and asylum seekers."
"146",11729,"article","'I stepped over a dead body …': Latina immigrant narratives of immigration and poverty."
"147",18216,"article","'I thought I wasn't creative but...'. Explorations of cultural capital with Liverpool young people."
"148",14403,"article","'I want to have my future, I have a dialogue': Social work in Sri Lanka between neo-capitalism and human rights."
"149",26548,"article","'I was born from the earth': Reconstructing the adoption self-narrative in the treatment of a preadolescent girl."
"150",10488,"article","'I work with the community, not the parties!' The political and practical dilemmas of South Africa's state-employed community development workers."
"151",19481,"article","'I'll Carry This Experience With Me Throughout My Studies and Future Career': Practice Tutorials and Students' Views on Social Work in Iraklio, Greece."
"152",20919,"article","'I'm Like a Tree a Million Miles from the Water's Edge': Social Care and Inclusion of Older People with Visual Impairment."
"153",23537,"article","'I'm a social work student and I'm here to observe an AA meeting.'"
"154",17067,"article","'I'm glad you asked': Homeless clients with severe mental illness evaluate their residential care."
"155",25250,"article","'I'm just glad that I'm here': Stories of seven African-American HIV-affected grandmothers."
"156",16727,"article","'I'm not a performing monkey': Reflections on the emotional experience of developing a collaborative training initiative between service users and lecturer."
"157",23909,"article","'I'm still blessed': The assets and needs of HIV-affected caregivers over 50."
"158",23898,"article","'IDDEAL' best practices as generated from the Albanian Kosovar refugees' personal reality."
"159",22804,"article","'If This Is Week Three, We Must Be Doing 'Feelings'': An Essay on the Importance of Client-Paced Group Work."
"160",22056,"article","'If We Are All in the Same Canoe, Why Are We Using Different Paddles?': The Effective Use of Common Themes in Diverse Group Situations."
"161",15240,"article","'If we don't get back to where we were before': Working in the restructured non-profit social services."
"162",19905,"article","'If you could change one thing': Social service workers and restructuring."
"163",635,"article","'In hunger I am king': Understanding anorexia nervosa from a psychoanalytic perspective: Theoretical and clinical implications."
"164",26553,"article","'In sickness and in health': A group intervention for spouses caring for patients with brain tumors."
"165",36617,"article","'In the real world we're all put on the spot at some time or other, so you need to be prepared for it': an exploratory study of an oral method of assessing knowledge of mental health law."
"166",18115,"article","'Inclusive education': Teaching social work students to work with children."
"167",10845,"article","'Inherently risky?': Personal budgets for people with dementia and the risks of financial abuse: Findings from an interview-based study with adult safeguarding coordinators."
"168",47477,"article","'Institutionalizing the redemption ritual': Judicial rehabilitation in France."
"169",22749,"article","'Is This How I'll Be for the Rest of My Life?' The Human Experience of Obsessive-Compulsive Disorder and the Implications for Mental Health Social Work Practice."
"170",22866,"article","'It Doesn't End on the Last Day of Treatment': A Psychoeducational Intervention for Women After Adjuvant Treatment for Early Stage Breast Cancer."
"171",12256,"article","'It just crept in': The digital age and implications for social work practice."
"172",22489,"article","'It's Feminist Because I Say So!': Feminism, Social Work and Critical Practice in the UK."
"173",121496,"article","'It's Like a Tattoo': Rethinking Dominant Discourses on Grief"
"174",22882,"article","'It's Not the Easy Part': The Experience of Significant Others of Women with Early Stage Breast Cancer, at Treatment Completion."
"175",18182,"article","'It's a bonus, without it I wouldn't even have a visit': Parents' views of supervised contact centres in New Zealand."
"176",35946,"article","'It's like you can't be a whole person, a mother who studies'. Lifelong learning: mature women students with caring commitments in social work education."
"177",14180,"article","'It's murder out today': Middle school girls speak out about girl fighting."
"178",121322,"article","'It's not just about marriage; it's about antidiscrimination': The California Supreme Court Decision and the Future of Same-Sex Marriage in the United States: An Interview with Matt Coles, ACLU Lesbian, Gay, Bisexual, Transgender and AIDS Project"
"179",18147,"article","'It's really not easy to get help': Services to drought-affected families."
"180",17093,"article","'It's time it ended and yet I hesitate, I hesitate to end it': The emotional world of an old people's home."
"181",24024,"article","'Just like baking a cake': Women describe the necessary ingredients for successful reentry after incarceration."
"182",705,"article","'Just say no' may not be enough to prevent child sexual abuse."
"183",13579,"article","'Just say no': Organizing against militarism in public schools."
"184",13787,"article","'Keeping families and children in mind': An evaluation of a web‐based workforce resource."
"185",11261,"article","'Keeping it real': An evaluation audit of five years of youth-led program evaluation."
"186",23995,"article","'Kids and fires are no match': Fire and trauma prevention for teen parents."
"187",11490,"article","'Kinship by design' in England: Reconfiguring adoption from Blair to the coalition."
"188",121433,"article","'Knock-Knock!': ReVisioning Family and Home"
"189",14376,"article","'Knowing our society' and 'fighting against prejudices': How child welfare workers in Norway and England perceive the challenges of minority parents."
"190",10282,"article","'Leads' to expanded social networks, increased civic engagement and divisions within a community: The role of dogs."
"191",20679,"article","'Leavers' from TANF and AFDC: How Do They Fare Economically?"
"192",24367,"article","'Less is best'-- A group-based treatment program for persons with personality disorders."
"193",18357,"article","'Lifeworld', 'system' and family group conferences: Habermas's contribution to discourse in child protection."
"194",15465,"article","'Like a prison!': Homeless women's narratives of surviving shelter."
"195",14145,"article","'Like walking on eggshells': Service user views and expectations of the child protection system."
"196",15925,"article","'Listen: This really happened': Making sense of social work through story-telling."
"197",52878,"article","'Living for the brethren': idealism, social work's lost enlightenment strain."
"198",21665,"article","'Losers' and 'winners' within an intertwin dyad: A case of a twinship selfobject relationship of a twin."
"199",24664,"article","'Lost childhood': Lessons from the Holocaust: Implications for adult adjustment."
"200",24699,"article","'Make, make, make some music': Social group work with mothers and babies together."
"201",11400,"article","'Making it' versus satisfaction: How women raising young children in poverty assess how well they are doing."
"202",119291,"article","'Making the Necklace from the Beads': Integrating Theory and Values into the Development of Competence, Using a Workshop Model"
"203",2849,"article","'Marrying off' children as a developmental stage."
"204",18577,"article","'Messages from the research': Social services departments and Irish children and families in England and Wales."
"205",24753,"article","'Mi casa es su casa': Beginning exploration of Mexican Americans' natural helping."
"206",16788,"article","'Mingling together': Promoting the social inclusion of disabled children and young people during the school holidays."
"207",17192,"article","'More real than reality': A study of voice hearing."
"208",14503,"article","'More than words': Touch practices in child and family social work."
"209",10302,"article","'Mutual transformation'."
"210",121032,"article","'My Client Is Subversive!' Partnership and Patronage in Social Work"
"211",31622,"article","'My Mother Thinks that this is the Case, and so Does My Teacher. I, for My Part, Do Not Notice Any Difference': Methodological Reflections on Intersubjectivity in the Research Process with Children."
"212",22965,"article","'My Name Is Jim. I Am an Alcoholic and a Professional Social Worker'."
"213",12812,"article","'My brakes are broken': Case presentation of a latency-age boy struggling with affect regulation."
"214",1004,"article","'My client is subversivep' Partnership and patronage in social work."
"215",16135,"article","'My ever dear': Social work’s 'lesbian' foremothers—A call for scholarship."
"216",80830,"article","'My mom makes me so angry!' Adolescent perceptions of mother-child interactions as correlates of adolescent emotions."
"217",15098,"article","'My mother things that this is the case, and so does my teacher. I, for my part, do not notice any difference': Methodological reflections on intersubjectivity in the research process with children."
"218",14921,"article","'My son gave birth to me': Offending fathers—Generative, reflexive and risky?"
"219",52874,"article","'No Irish need apply': social work in Britain and the history and politics of exclusionary paradigms and practices."
"220",24003,"article","'No one else could understand': Women's experiences of a support group run by and for mothers of sexually abused children."
"221",10557,"article","'Not easily put into a box': Constructing professional identity."
"222",18993,"article","'Not prepared to care' and 'raising the bar': Case examples of building university-community partnerships in gerontological social work research."
"223",19748,"article","'Older but not Wiser': What Custodial Grandparents Want to Tell Social Workers about Raising Grandchildren."
"224",11497,"article","'Other children say you're not normal because you don't live with your parents'. Children's views of living with informal kinship carers: Social networks, stigma and attachment to carers."
"225",25383,"article","'Outside and Inside, Male and Female' reconsidered."
"226",25382,"article","'Ox hunger': Psychoanalytic explorations of bulimia nervosa."
"227",15224,"article","'Pains of imprisonment : Narratives of the women partners and children of the incarcerated."
"228",21826,"article","'Perpetual Liminality': Re-readings of Subjectivity and Diversity in Clinical Social Work Classrooms."
"229",18130,"article","'Polyphonic' welfare: Luhmann's systems theory applied to modern social work."
"230",25158,"article","'Positive feelings': Group support for children of HIV-infected mothers."
"231",19578,"article","'Put Up' on Platforms: A History of Twentieth Century Adoption Policy in the United States."
"232",13587,"article","'Queen of the world': Experiences of 'at-risk' young people participating in equine-assisted learning/therapy."
"233",18557,"article","'Queer eye' for social work: Rethinking pedagogy and practice with same-sex attracted young people."
"234",18158,"article","'Race', ethnicity and child welfare: A fine balancing act."
"235",18352,"article","'Reading' in professional practice: How social work practice assessors access knowledge and information."
"236",20755,"article","'Religion Is the Finding Thing': An Evolving Spirituality in Late Life."
"237",916,"article","'Responsibility at-risk': Perceptions of stress, control and professional effectiveness in child welfare direct practitioners."
"238",45249,"article","'Revisiting Barra': Changes in th structure and delivery of social work services in the Outer Hebrides-are rural tenets still alive?"
"239",25455,"article","'Safe places to go and things to do': Political texts from urban youth of color."
"240",15560,"article","'School was just a nightmare': Childhood abuse and neglect and school experiences."
"241",19388,"article","'Seen and Not Heard' Sociological Approaches to Childhood: Black Children, Agency and Implications for Child Welfare."
"242",21296,"article","'Seen but not heard'--Young people's experience of advocacy."
"243",26095,"article","'Self-help': Perceptions of Israeli students in the helping professions."
"244",18752,"article","'Separation guilt' in women who initiate divorce."
"245",664,"article","'Shadows of the heart': A dramatic video for the treatment resistance of spouse abusers."
"246",1689,"article","'She foreswore her womanhood': Psychoanalytic views of female homosexuality."
"247",19511,"article","'Sitting on the mourning bench': Mental health workers and an elderly client."
"248",13829,"article","'So I just took over': African American daughters' caregiving for parents with heart failure."
"249",25868,"article","'Social work idealism' and students' perceived reasons for entering social work."
"250",1854,"article","'Sorting out' within a 'troika': Treatment of neurologically based learning disabilities in children."
"251",88800,"article","'Speak roughly to your little boy?' Sex differences in the relations between parenting and preschoolers' understanding of mind."
"252",14821,"article","'Speaking back' to fear: Responding to the moral dilemmas of risk in social work practice."
"253",26032,"article","'Straight talk': The effectiveness of a psychoeducational group intervention for heterosexuals with HIV/AIDS."
"254",18426,"article","'Sugar and spice but not always nice': Gender socialization and its impact on development and maintenance of aggression in adolescent girls."
"255",12425,"article","'Talking in a new way': Older individuals' experiences of group work in an acute psychiatric ward."
"256",85731,"article","'Talking it out': A computer-based mediation process for adolescents."
"257",19891,"article","'Talking to My Mum': Developing Communication Between Mothers and Children in the Aftermath of Domestic Violence."
"258",22200,"article","'The Power of Place': Another Look at the Environment."
"259",20289,"article","'The Speech of the Suffering Soul': Four Readings of William Styron's Darkness Visible."
"260",11300,"article","'The West Point of the philanthropic service': Reconsidering social work’s welcome to women in the early twentieth century."
"261",44820,"article","'The billion dollar question': Embedding prevention in older peoples's services-ten 'high-impact' changes."
"262",55761,"article","'The company of neighbors': building social support through the use of ethnography."
"263",26389,"article","'The company of neighbours': Building social support through the use of ethnography."
"264",25150,"article","'The past, the present, but never the future': Thematic representations of fostering disruption."
"265",19457,"article","'The real work is what they do together': Peer support and birth parent change."
"266",17619,"article","'The times they are a changing' - Post qualifying training needs of social work managers."
"267",18111,"article","'The tip of the ice berg': Children's complaints and advocacy in Wales--An insider view from complaints officers."
"268",24647,"article","'Therapeutizing' research: The positive impact of family-focused research on participants."
"269",17246,"article","'There are wonderful social workers but it's a lottery': Older people's views about social workers."
"270",13309,"article","'There's always this sense of failure': An interpretative phenomenological analysis of primary care counsellors' experiences of working with the borderline client."
"271",120006,"article","'These girls gave me AIDS. Why should I use condoms?' Clients of Sex Workers in Kamathipura Express Their Attitudes About HIV"
"272",12124,"article","'They treat us like pests:' undocumented immigrant experiences obtaining health care in the wake of a 'crackdown' ordinance."
"273",17474,"article","'They won't come': Increasing parent involvement in parent management training programs for at-risk youths in schools."
"274",13027,"article","'They're there for you': Men's relationships with companion animals."
"275",26658,"article","'Things were different then': Countertransference issues for younger female therapists working with older female clients."
"276",18744,"article","'This is who we are and this is what we do': Social work education and self-efficacy."
"277",18251,"article","'Thoughtful' practice: Child care social work and the role of case discussion."
"278",130,"article","'Till death do us part': The application of object relations theory to facilitate mourning in a young widows' group."
"279",12544,"article","'To all people of good will': Catholic social teaching, natural law, and racial disproportionality in social work."
"280",122109,"article","'Trans'cending Barriers: Transgender Organizing on the Internet"
"281",14408,"article","'Treat me don't beat me'....Exploring supervisory games and their effect on poor performance management."
"282",23546,"article","'Truth and reconciliation': Workers' fear of conflict in groups."
"283",23271,"article","'Undeserving mothers?' Practitioners experiences working with young mothers in/from care."
"284",76181,"article","'Vulnerability’: Handle with care."
"285",11962,"article","'Waiting for the White man to fix things': Rebuilding Black poverty in New Orleans."
"286",18218,"article","'Ways of knowing and showing': Imagination and representation in feminist participatory social research."
"287",15697,"article","'We are not criminals': Social work advocacy and unauthorized migrants."
"288",11341,"article","'We are radical': The right to the city alliance and the future of community organizing."
"289",11785,"article","'We didn’t have to talk': Adolescent perception of mentor–mentee relationships in an evaluation study of a mentoring program for adolescents with juvenile diabetes."
"290",12671,"article","'We don't have a back-up plan': An exploration of family contingency planning for emergencies following stroke."
"291",17155,"article","'We don't see her as a social worker': A service user case study of the importance of the social worker's relationship and humanity."
"292",80548,"article","'We got to figure it out': Information-sharing and siblings' negotiations of conflicts of interests."
"293",21305,"article","'We just happen to live here': Two social works share their stories about Oregon's Death with Dignity Law."
"294",45145,"article","'We'er all going Bali': Utilising Gamelan as an educational resource for leadership and teamwork in post-qualifying education in health and social care."
"295",11439,"article","'We're all going Bali': Utilising Gamelan as an educational resource for leadership and teamwork in post-qualifying education in health and social care."
"296",122625,"article","'We've stood on that precipice'"
"297",23563,"article","'Well, we've all got to get old haven't we?': Reflections of older people with intellectual disabilities on aging and change."
"298",20200,"article","'What Could Happen and What Couldn't Happen': A Poetry Club for Kids."
"299",18572,"article","'What about feelings?': A study of emotion and tension in social work field education."
"300",17579,"article","'What about the gray area?': College women's reflections on the sex talk and abstinence."
"301",16407,"article","'What about women?' Historical perspectives on the CSWE Council on the Role and Status of Women in Social Work Education (Women's Council)."
"302",76185,"article","'What are we to do about difference?': Race, culture and the ethical encounter."
"303",58182,"article","'What's goin' on in there?!?!?': alliance formation with parents whose children are in group treatment."
"304",37877,"article","'Whatever you say, say something': the education, training and practice of mental health social workers in Northern Ireland."
"305",16048,"article","'When you are tired or terrified your voice slips back into its old first place': The role of feelings in community mental health practice with forensic patients."
"306",11800,"article","'Where are my rights?' Compromised citizenship in mixed-status marriage: A research note."
"307",20843,"article","'Who Do I Tell?' Support and Consultation in Cases of Ethical Conflict."
"308",26016,"article","'Who would find you?' A question for working with suicidal children and adolescents."
"309",122330,"article","'Who's Protected?' Exploring Perceptions of Domestic Violence Law by Lesbians, Gays, and Bisexuals"
"310",20733,"article","'Wholly within the discretion of the probate court': Judicial Authority and Mothers' Pensions in Michigan, 1913-1940."
"311",37568,"article","'Who’s crying for whom?’ Setting up an under five's counselling service in a social services family centre."
"312",12125,"article","'Why is this not social work?' The contribution of 'non-traditional' placements in preparing social work students for practice."
"313",21633,"article","'Won't be weighted down:' Richard R. Wright, Jr.'s contributions to social work and social welfare."
"314",82124,"article","'Would others think it is okay to express my feelings?' Regulation of anger, sadness and physical pain in Gujarati children in India."
"315",17687,"article","'You can't tie and untie love that fast': Family preservation and reunification in midcentury Philadelphia."
"316",18734,"article","'You didn't throw us to the wolves': Problem-based learning in a social work family class."
"317",12838,"article","'You get more respect,’ reasons for sex among African American high school youth: A qualitative study."
"318",16894,"article","'You gotta start thinking like a parent': Hopes, dreams, and concerns of ethnic minority adolescent parents."
"319",79723,"article","'You'd be good at that’: Gender patterns in parent-child talk about courses."
"320",18070,"article","'You're nothing but a junkie': Multiple experiences of stigma in an aging methadone maintenance population."
"321",15515,"article","'You've got to be a saint to be a social worker.' The (mis)operation of fitness to practise processes for students already registered onto English social work training programmes."
"322",22730,"article","'Your friends don't understand': Invisibility and unmet need in the lives of 'young carers'."
"323",16132,"article","'Your mind is the battlefield': South African trainee health workers engage with the past."
"324",17445,"article","(Dis)counted stories: Domestic violence and lesbians."
"325",12351,"article","(In)(out)sider(s): White immigrant PhD students reflecting on their teaching experience."
