Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
British Journal of Social Work,1997, , , ,224,107,59.81,0.93
British Journal of Social Work,1998, , , ,253,104,53.85,8.65
British Journal of Social Work,1999,0.351,0.642,1.129,267,100,55,10
British Journal of Social Work,2000,0.341,0.484,1.013,287,120,59.17,1.67
British Journal of Social Work,2001,0.353,0.626,0.982,339,121,54.55,7.44
British Journal of Social Work,2002,0.406,0.527,1.063,357,130,49.23,18.46
British Journal of Social Work,2003,0.42,0.69,1.146,495,139,53.96,15.11
British Journal of Social Work,2004,0.343,0.614,1.05,463,145,57.24,28.97
British Journal of Social Work,2005,0.437,0.712,0.936,626,166,56.02,9.64
British Journal of Social Work,2006,0.41,0.765,1.131,782,185,62.16,19.46
British Journal of Social Work,2007,0.568,0.7,1.002,843,157,52.23,5.1
British Journal of Social Work,2008,0.644,0.857,1.028,1271,165,49.09,12.73
British Journal of Social Work,2009,0.845,1.075,1.455,1470,158,45.57,2.53
British Journal of Social Work,2010,0.886,1.34,1.582,1641,211,33.65,1.42
British Journal of Social Work,2011,0.827,1.383,1.29,1797,136,44.12,8.82
British Journal of Social Work,2012,1.061,1.308,1.453,2075,105,35.24,17.14
British Journal of Social Work,2013,0.953,1.424,1.601,2517,115,62.61,7.83
British Journal of Social Work,2014, , , ,1925,92,85.87,3.26
British Journal of Social Work,2015, , , ,136,0,0,0
Child and Adolescent Social Work Journal,1996, , , ,106,38,26.32,2.63
Child and Adolescent Social Work Journal,1997, , , ,94,33,33.33,18.18
Child and Adolescent Social Work Journal,1998, , , ,113,37,40.54,18.92
Child and Adolescent Social Work Journal,1999,0.339,0.451,0.694,159,29,27.59,10.34
Child and Adolescent Social Work Journal,2000,0.259,0.342,0.646,151,30,20,10
Child and Adolescent Social Work Journal,2001,0.186,0.203,0.417,153,30,26.67,13.33
Child and Adolescent Social Work Journal,2002,0.186,0.169,0.169,166,30,20,0
Child and Adolescent Social Work Journal,2003,0.233,0.296,0.405,207,41,34.15,36.59
Child and Adolescent Social Work Journal,2004,0.207,0.253,0.253,179,45,26.67,20
Child and Adolescent Social Work Journal,2005,0.253,0.357,0.432,251,29,24.14,24.14
Child and Adolescent Social Work Journal,2006,0.284,0.429,0.505,344,37,24.32,16.22
Child and Adolescent Social Work Journal,2007,0.247,0.244,0.324,342,31,3.23,0
Child and Adolescent Social Work Journal,2008,0.24,0.364,0.337,396,44,27.27,0
Child and Adolescent Social Work Journal,2009,0.308,0.51,0.395,479,45,31.11,0
Child and Adolescent Social Work Journal,2010,0.252,0.52,0.444,514,29,17.24,13.79
Child and Adolescent Social Work Journal,2011,0.38,0.794,0.542,590,29,27.59,6.9
Child and Adolescent Social Work Journal,2012,0.279,0.62,0.467,630,30,30,3.33
Child and Adolescent Social Work Journal,2013,0.269,0.586,0.386,664,30,60,6.67
Child and Adolescent Social Work Journal,2014, , , ,470,55,96.36,5.45
Child and Adolescent Social Work Journal,2015, , , ,22,6,100,0
Child and Family Social Work,1996, , , ,0,0,0,0
Child and Family Social Work,1997, , , ,0,0,0,0
Child and Family Social Work,1998, , , ,0,19,36.84,0
Child and Family Social Work,1999, , , ,3,52,46.15,0
Child and Family Social Work,2000, , , ,9,54,44.44,0
Child and Family Social Work,2001, , , ,17,60,50,0
Child and Family Social Work,2002, , , ,66,53,47.17,1.89
Child and Family Social Work,2003,0.172,0.167,0.213,83,55,43.64,0
Child and Family Social Work,2004,0.208,0.377,0.634,80,55,45.45,0
Child and Family Social Work,2005,0.421,0.566,1.118,140,54,40.74,20.37
Child and Family Social Work,2006,0.326,0.4,0.837,236,49,26.53,32.65
Child and Family Social Work,2007,0.71,0.554,0.866,373,62,33.87,3.23
Child and Family Social Work,2008,0.937,1.292,1.633,468,63,30.16,0
Child and Family Social Work,2009,0.98,1.119,0.96,500,61,22.95,0
Child and Family Social Work,2010,0.733,1.108,1.069,651,67,38.81,1.49
Child and Family Social Work,2011,0.777,1.207,1.125,784,65,46.15,1.54
Child and Family Social Work,2012,0.83,1.153,1.082,838,48,20.83,6.25
Child and Family Social Work,2013,0.493,0.912,0.869,869,99,71.72,0
Child and Family Social Work,2014, , , ,835,89,91.01,0
Child and Family Social Work,2015, , , ,75,19,100,0
China Journal of Social Work,1996, , , ,0,0,0,0
China Journal of Social Work,1997, , , ,0,0,0,0
China Journal of Social Work,1998, , , ,0,0,0,0
China Journal of Social Work,1999, , , ,0,0,0,0
China Journal of Social Work,2000, , , ,0,0,0,0
China Journal of Social Work,2001, , , ,0,0,0,0
China Journal of Social Work,2002, , , ,0,0,0,0
China Journal of Social Work,2003, , , ,0,0,0,0
China Journal of Social Work,2004, , , ,0,0,0,0
China Journal of Social Work,2005, , , ,0,0,0,0
China Journal of Social Work,2006, , , ,0,0,0,0
China Journal of Social Work,2007, , , ,0,0,0,0
China Journal of Social Work,2008, , , ,0,0,0,0
China Journal of Social Work,2009, , , ,0,0,0,0
China Journal of Social Work,2010, , , ,0,23,43.48,17.39
China Journal of Social Work,2011,0.108,0.048,0.024,1,23,65.22,0
China Journal of Social Work,2012,0.12,0.026,0.064,9,22,68.18,4.55
China Journal of Social Work,2013,0.265,0.375,0.611,29,26,80.77,0
China Journal of Social Work,2014, , , ,15,25,100,0
China Journal of Social Work,2015, , , ,3,0,0,0
Clinical Social Work Journal,1996, , , ,119,36,30.56,16.67
Clinical Social Work Journal,1997, , , ,112,43,44.19,4.65
Clinical Social Work Journal,1998, , , ,111,49,51.02,8.16
Clinical Social Work Journal,1999,0.283,0.434,1.08,130,43,48.84,0
Clinical Social Work Journal,2000,0.289,0.319,0.786,124,39,33.33,2.56
Clinical Social Work Journal,2001,0.207,0.178,0.389,107,41,43.9,2.44
Clinical Social Work Journal,2002,0.153,0.181,0.358,107,42,50,14.29
Clinical Social Work Journal,2003,0.162,0.219,0.43,135,48,52.08,29.17
Clinical Social Work Journal,2004,0.219,0.25,0.848,123,49,59.18,18.37
Clinical Social Work Journal,2005,0.167,0.192,0.375,148,50,56,16
Clinical Social Work Journal,2006,0.233,0.243,0.542,254,52,42.31,19.23
Clinical Social Work Journal,2007,0.178,0.22,0.353,227,42,28.57,0
Clinical Social Work Journal,2008,0.271,0.58,0.837,278,55,43.64,5.45
Clinical Social Work Journal,2009,0.293,0.455,0.551,247,53,43.4,1.89
Clinical Social Work Journal,2010,0.354,0.623,0.974,328,58,44.83,0
Clinical Social Work Journal,2011,0.281,0.59,0.789,358,50,30,10
Clinical Social Work Journal,2012,0.23,0.418,0.488,446,49,42.86,0
Clinical Social Work Journal,2013,0.31,0.543,0.604,406,54,68.52,3.7
Clinical Social Work Journal,2014, , , ,383,53,88.68,0
Clinical Social Work Journal,2015, , , ,20,0,0,0
China Journal of Social Work,1997, , , ,0,0,0,0
China Journal of Social Work,1998, , , ,0,0,0,0
China Journal of Social Work,1999, , , ,0,0,0,0
China Journal of Social Work,2000, , , ,0,0,0,0
China Journal of Social Work,2001, , , ,0,0,0,0
China Journal of Social Work,2002, , , ,0,0,0,0
China Journal of Social Work,2003, , , ,0,0,0,0
China Journal of Social Work,2004, , , ,0,0,0,0
China Journal of Social Work,2005, , , ,0,0,0,0
China Journal of Social Work,2006, , , ,0,0,0,0
China Journal of Social Work,2007, , , ,0,0,0,0
China Journal of Social Work,2008, , , ,0,0,0,0
China Journal of Social Work,2009, , , ,0,0,0,0
China Journal of Social Work,2010, , , ,0,23,43.48,17.39
China Journal of Social Work,2011,0.108,0.048,0.024,1,23,65.22,0
China Journal of Social Work,2012,0.12,0.026,0.064,9,22,68.18,4.55
China Journal of Social Work,2013,0.265,0.375,0.611,29,26,80.77,0
China Journal of Social Work,2014, , , ,15,25,100,0
China Journal of Social Work,2015, , , ,3,0,0,0
Clinical Social Work Journal,1996, , , ,119,36,30.56,16.67
Clinical Social Work Journal,1997, , , ,112,43,44.19,4.65
Clinical Social Work Journal,1998, , , ,111,49,51.02,8.16
Clinical Social Work Journal,1999,0.283,0.434,1.08,130,43,48.84,0
Clinical Social Work Journal,2000,0.289,0.319,0.786,124,39,33.33,2.56
Clinical Social Work Journal,2001,0.207,0.178,0.389,107,41,43.9,2.44
Clinical Social Work Journal,2002,0.153,0.181,0.358,107,42,50,14.29
Clinical Social Work Journal,2003,0.162,0.219,0.43,135,48,52.08,29.17
Clinical Social Work Journal,2004,0.219,0.25,0.848,123,49,59.18,18.37
Clinical Social Work Journal,2005,0.167,0.192,0.375,148,50,56,16
Clinical Social Work Journal,2006,0.233,0.243,0.542,254,52,42.31,19.23
Clinical Social Work Journal,2007,0.178,0.22,0.353,227,42,28.57,0
Clinical Social Work Journal,2008,0.271,0.58,0.837,278,55,43.64,5.45
Clinical Social Work Journal,2009,0.293,0.455,0.551,247,53,43.4,1.89
Clinical Social Work Journal,2010,0.354,0.623,0.974,328,58,44.83,0
Clinical Social Work Journal,2011,0.281,0.59,0.789,358,50,30,10
Clinical Social Work Journal,2012,0.23,0.418,0.488,446,49,42.86,0
Clinical Social Work Journal,2013,0.31,0.543,0.604,406,54,68.52,3.7
Clinical Social Work Journal,2014, , , ,383,53,88.68,0
Clinical Social Work Journal,2015, , , ,20,0,0,0
European Journal of Social Work,1996, , , ,0,0,0,0
European Journal of Social Work,1997, , , ,0,0,0,0
European Journal of Social Work,1998, , , ,1,56,62.5,0
European Journal of Social Work,1999, , , ,2,48,62.5,0
European Journal of Social Work,2000,0.12, , ,3,51,68.63,0
European Journal of Social Work,2001,1.103, , ,18,52,69.23,0
European Journal of Social Work,2002,0.121, , ,16,37,72.97,0
European Journal of Social Work,2003, , , ,25,53,67.92,0
European Journal of Social Work,2004, , , ,26,40,67.5,0
European Journal of Social Work,2005, , , ,35,35,37.14,0
European Journal of Social Work,2006, , , ,57,44,52.27,0
European Journal of Social Work,2007, , , ,60,50,44,0
European Journal of Social Work,2008, , , ,130,57,56.14,1.75
European Journal of Social Work,2009,0.24,0.207,0.478,131,47,34.04,4.26
European Journal of Social Work,2010,0.44,0.355,0.647,161,52,48.08,0
European Journal of Social Work,2011,0.316,0.44,0.578,188,54,66.67,1.85
European Journal of Social Work,2012,0.525,0.585,0.682,227,48,45.83,4.17
European Journal of Social Work,2013,0.273,0.398,0.455,237,30,83.33,6.67
European Journal of Social Work,2014, , , ,190,52,98.08,0
European Journal of Social Work,2015, , , ,23,11,100,0
Health and Social Work,1996, , , ,375,47,21.28,0
Health and Social Work,1997, , , ,368,55,34.55,14.55
Health and Social Work,1998, , , ,372,44,22.73,11.36
Health and Social Work,1999,0.618,0.888,0.759,388,41,14.63,4.88
Health and Social Work,2000,0.531,0.977,1.216,477,40,22.5,12.5
Health and Social Work,2001,0.304,0.647,0.909,443,37,8.11,13.51
Health and Social Work,2002,0.327,0.793,0.885,463,48,20.83,4.17
Health and Social Work,2003,0.308,0.628,0.528,527,41,12.2,26.83
Health and Social Work,2004,0.512,0.596,0.92,536,42,7.14,59.52
Health and Social Work,2005,0.348,0.777,0.776,657,42,0,45.24
Health and Social Work,2006,0.325,0.718,0.642,734,39,2.56,56.41
Health and Social Work,2007,0.408,0.943,1.02,783,45,13.33,24.44
Health and Social Work,2008,0.447,0.925,0.972,841,36,8.33,22.22
Health and Social Work,2009,0.413,0.95,0.855,802,38,13.16,15.79
Health and Social Work,2010,0.499,1.289,0.872,948,36,11.11,33.33
Health and Social Work,2011,0.4,1.126,0.909,897,37,16.22,56.76
Health and Social Work,2012,0.486,1.144,0.839,1111,25,28,16
Health and Social Work,2013,0.366,0.897,0.468,928,27,66.67,18.52
Health and Social Work,2014, , , ,753,26,84.62,15.38
Health and Social Work,2015, , , ,49,0,0,0
Indian Journal of Social Work,1996, , , ,14,50,70,0
Indian Journal of Social Work,1997, , , ,19,51,58.82,0
Indian Journal of Social Work,1998, , , ,17,57,54.39,3.51
Indian Journal of Social Work,1999,0.113,0.018,0.067,42,49,71.43,6.12
Indian Journal of Social Work,2000,0.139,0.038,0.37,35,61,52.46,3.28
Indian Journal of Social Work,2001,0.1,0.009,0.041,48,54,61.11,0
Indian Journal of Social Work,2002,0.123,0.011,0.067,41,48,79.17,37.5
Indian Journal of Social Work,2003,0.141,0.074,0.207,41,42,76.19,11.9
Indian Journal of Social Work,2004,0.106,0.044,0.326,39,43,81.4,0
Indian Journal of Social Work,2005,0.1,0,0,40,41,75.61,9.76
Indian Journal of Social Work,2006,0.11,0.014,0.176,57,37,81.08,8.11
Indian Journal of Social Work,2007,0.1,0,0,47,48,83.33,0
Indian Journal of Social Work,2008,0.1,0.023,0.164,36,44,86.36,4.55
Indian Journal of Social Work,2009,0.101,0,0,41,42,85.71,2.38
Indian Journal of Social Work,2010,0.113,0.041,0.3,51,46,95.65,8.7
Indian Journal of Social Work,2011,0.11,0.021,0.16,33,41,87.8,7.32
Indian Journal of Social Work,2012,0.11,0.022,0.047,66,38,97.37,2.63
Indian Journal of Social Work,2013,0.1,0,0,52,29,100,6.9
Indian Journal of Social Work,2014, , , ,26,0,0,0
Indian Journal of Social Work,2015, , , ,2,0,0,0
International Social Work,1996, , , ,50,43,39.53,0
International Social Work,1997, , , ,59,44,40.91,11.36
International Social Work,1998, , , ,52,50,42,4
International Social Work,1999,0.17,0.209,0.459,90,63,53.97,0
International Social Work,2000,0.211,0.27,0.68,98,61,52.46,0
International Social Work,2001,0.247,0.228,0.636,82,54,50,0
International Social Work,2002,0.254,0.284,0.621,112,60,55,16.67
International Social Work,2003,0.178,0.318,0.92,154,47,40.43,23.4
International Social Work,2004,0.192,0.202,0.335,145,38,15.79,50
International Social Work,2005,0.24,0.303,0.879,173,67,11.94,44.78
International Social Work,2006,0.245,0.281,0.473,239,78,25.64,20.51
International Social Work,2007,0.399,0.408,0.61,242,74,27.03,20.27
International Social Work,2008,0.374,0.413,0.543,368,77,28.57,20.78
International Social Work,2009,0.436,0.472,0.687,468,75,28,0
International Social Work,2010,0.425,0.488,0.574,455,70,31.43,0
International Social Work,2011,0.419,0.531,0.707,531,61,39.34,1.64
International Social Work,2012,0.811,1.019,1.106,818,53,41.51,3.77
International Social Work,2013,0.481,0.741,0.907,741,51,74.51,1.96
International Social Work,2014, , , ,582,65,90.77,0
International Social Work,2015, , , ,62,16,100,0
Journal of Ethnic and Cultural Diversity in Social Work,1996, , , ,0,0,0,0
Journal of Ethnic and Cultural Diversity in Social Work,1997, , , ,0,0,0,0
Journal of Ethnic and Cultural Diversity in Social Work,1998, , , ,0,0,0,0
Journal of Ethnic and Cultural Diversity in Social Work,1999, , , ,0,0,0,0
Journal of Ethnic and Cultural Diversity in Social Work,2000, , , ,0,12,25,0
Journal of Ethnic and Cultural Diversity in Social Work,2001, , , ,0,40,30,0
Journal of Ethnic and Cultural Diversity in Social Work,2002, , , ,2,11,9.09,0
Journal of Ethnic and Cultural Diversity in Social Work,2003, , , ,4,27,37.04,0
Journal of Ethnic and Cultural Diversity in Social Work,2004, , , ,12,26,23.08,0
Journal of Ethnic and Cultural Diversity in Social Work,2005, , , ,29,10,30,0
Journal of Ethnic and Cultural Diversity in Social Work,2006,0.103,0,0,43,27,14.81,7.41
Journal of Ethnic and Cultural Diversity in Social Work,2007,0.196,0.063,0.03,76,29,31.03,0
Journal of Ethnic and Cultural Diversity in Social Work,2008,0.141,0.161,0.205,81,25,32,8
Journal of Ethnic and Cultural Diversity in Social Work,2009,0.141,0.273,0.34,118,17,5.88,0
Journal of Ethnic and Cultural Diversity in Social Work,2010,0.194,0.298,0.218,133,20,40,0
Journal of Ethnic and Cultural Diversity in Social Work,2011,0.38,0.706,0.719,199,19,26.32,0
Journal of Ethnic and Cultural Diversity in Social Work,2012,0.33,0.577,0.658,199,18,44.44,0
Journal of Ethnic and Cultural Diversity in Social Work,2013,0.283,0.472,0.345,197,16,87.5,6.25
Journal of Ethnic and Cultural Diversity in Social Work,2014, , , ,157,19,100,0
Journal of Ethnic and Cultural Diversity in Social Work,2015, , , ,16,0,0,0
Journal of Evidence-Based Social Work,1996, , , ,0,0,0,0
Journal of Evidence-Based Social Work,1997, , , ,0,0,0,0
Journal of Evidence-Based Social Work,1998, , , ,0,0,0,0
Journal of Evidence-Based Social Work,1999, , , ,0,0,0,0
Journal of Evidence-Based Social Work,2000, , , ,0,0,0,0
Journal of Evidence-Based Social Work,2001, , , ,0,0,0,0
Journal of Evidence-Based Social Work,2002, , , ,0,0,0,0
Journal of Evidence-Based Social Work,2003, , , ,0,0,0,0
Journal of Evidence-Based Social Work,2004, , , ,0,22,45.45,0
Journal of Evidence-Based Social Work,2005, , , ,3,22,45.45,0
Journal of Evidence-Based Social Work,2006, , , ,7,24,25,8.33
Journal of Evidence-Based Social Work,2007,0.116,0.13,0.382,20,22,40.91,18.18
Journal of Evidence-Based Social Work,2008,0.131,0.073,0.066,24,26,0,19.23
Journal of Evidence-Based Social Work,2009,0.258,0.317,0.467,40,26,23.08,0
Journal of Evidence-Based Social Work,2010,0.303,0.641,0.726,79,38,39.47,2.63
Journal of Evidence-Based Social Work,2011,0.17,0.405,0.328,85,30,46.67,23.33
Journal of Evidence-Based Social Work,2012,0.175,0.538,0.306,129,35,51.43,8.57
Journal of Evidence-Based Social Work,2013,0.234,0.512,0.506,160,47,76.6,25.53
Journal of Evidence-Based Social Work,2014, , , ,170,34,88.24,0
Journal of Evidence-Based Social Work,2015, , , ,11,0,0,0
Journal of Family Social Work,1996, , , ,0,11,27.27,0
Journal of Family Social Work,1997, , , ,0,25,12,0
Journal of Family Social Work,1998, , , ,6,5,20,0
Journal of Family Social Work,1999, , , ,2,15,26.67,0
Journal of Family Social Work,2000, , , ,13,35,51.43,0
Journal of Family Social Work,2001, , , ,16,34,17.65,0
Journal of Family Social Work,2002, , , ,17,0,0,0
Journal of Family Social Work,2003, , , ,18,21,9.52,0
Journal of Family Social Work,2004, , , ,23,16,18.75,0
Journal of Family Social Work,2005,0.122,0,0,36,4,0,50
Journal of Family Social Work,2006,0.115,0,0,51,22,13.64,9.09
Journal of Family Social Work,2007,0.112,0.115,0.123,39,8,0,12.5
Journal of Family Social Work,2008,0.2,0.273,0.221,48,33,39.39,6.06
Journal of Family Social Work,2009,0.174,0.264,0.694,75,26,34.62,3.85
Journal of Family Social Work,2010,0.143,0.255,0.476,80,32,15.63,0
Journal of Family Social Work,2011,0.201,0.478,0.479,121,35,45.71,0
Journal of Family Social Work,2012,0.238,0.634,0.432,155,32,68.75,0
Journal of Family Social Work,2013,0.212,0.457,0.498,160,25,88,4
Journal of Family Social Work,2014, , , ,137,31,100,0
Journal of Family Social Work,2015, , , ,10,0,0,0
Journal of Gerontological Social Work,1996, , , ,147,68,35.29,0
Journal of Gerontological Social Work,1997, , , ,186,45,28.89,2.22
Journal of Gerontological Social Work,1998, , , ,161,36,8.33,0
Journal of Gerontological Social Work,1999,0.199,0.2,0.179,197,49,18.37,0
Journal of Gerontological Social Work,2000,0.148,0.081,0.17,228,40,20,0
Journal of Gerontological Social Work,2001,0.168,0.333,0.433,244,71,22.54,0
Journal of Gerontological Social Work,2002,0.169,0.296,0.393,222,77,6.49,0
Journal of Gerontological Social Work,2003,0.186,0.8,0.875,280,35,22.86,0
Journal of Gerontological Social Work,2004, , , ,289,64,14.06,0
Journal of Gerontological Social Work,2005, , , ,372,56,25,37.5
Journal of Gerontological Social Work,2006,0.137,0.136,0.113,459,58,17.24,3.45
Journal of Gerontological Social Work,2007,0.218,0.312,0.202,537,56,21.43,5.36
Journal of Gerontological Social Work,2008,0.259,0.514,0.548,515,50,36,2
Journal of Gerontological Social Work,2009,0.393,0.637,0.494,571,66,25.76,0
Journal of Gerontological Social Work,2010,0.348,0.73,0.616,756,59,28.81,0
Journal of Gerontological Social Work,2011,0.296,0.74,0.508,624,59,32.2,5.08
Journal of Gerontological Social Work,2012,0.497,0.892,0.778,904,51,19.61,3.92
Journal of Gerontological Social Work,2013,0.722,1.167,0.898,870,44,27.27,2.27
Journal of Gerontological Social Work,2014, , , ,770,62,35.48,3.23
Journal of Gerontological Social Work,2015, , , ,46,6,100,0
Journal of Religion and Spirituality in Social Work,1997, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,1998, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,1999, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,2000, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,2001, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,2002, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,2003, , , ,0,0,0,0
Journal of Religion and Spirituality in Social Work,2004, , , ,0,37,45.95,0
Journal of Religion and Spirituality in Social Work,2005, , , ,0,23,52.17,0
Journal of Religion and Spirituality in Social Work,2006, , , ,13,45,42.22,4.44
Journal of Religion and Spirituality in Social Work,2007,0.176,0.103,0.169,15,26,23.08,3.85
Journal of Religion and Spirituality in Social Work,2008,0.12,0.102,0.343,21,28,25,0
Journal of Religion and Spirituality in Social Work,2009,0.263,0.507,0.342,60,38,39.47,5.26
