"","Country","N","Freq"
"221","Channel Islands","2",0
"222","Chile","2",0
"223","China","2",0
"224","Colombia","2",0
"225","Commonwealth of Independent States","2",0
"226","Costa Rica","2",0
"227","Croatia","2",0
"228","Cuba","2",0
"229","Cyprus","2",0
"230","Czech Republic","2",0
"231","Czechoslovakia","2",0
"232","Democratic Republic of Congo","2",0
"233","Denmark","2",0
"234","Dominican Republic","2",0
"235","Eastern Europe","2",1
"236","Ecuador","2",0
"237","Egypt","2",0
"238","El Salvador","2",0
"239","England","2",0
"240","Eritrea","2",0
"241","Estonia","2",0
"242","Ethiopia","2",0
"243","Europe","2",0
"244","Fiji","2",0
"245","Finland","2",0
"246","France","2",0
"247","French Polynesia","2",0
"248","Gambia","2",1
"249","Gaza Strip","2",0
"250","Georgia","2",0
"251","Germany","2",0
"252","Ghana","2",0
"253","Great Britain","2",0
"254","Greece","2",0
"255","Grenada","2",0
"256","Guam","2",0
"257","Guatemala","2",0
"258","Guinea","2",0
"259","Guyana","2",0
"260","Haiti","2",0
"261","Honduras","2",0
"262","Hong Kong","2",0
"263","Hungary","2",0
"264","Iceland","2",0
"265","India","2",0
"266","Indonesia","2",0
"267","Iran","2",0
"268","Iraq","2",0
"269","Ireland","2",0
"270","Israel","2",0
"271","Italy","2",0
"272","Ivory Coast","2",0
"273","Jamaica","2",0
"274","Japan","2",0
"275","Jordan","2",0
"276","Kazakhstan","2",0
"277","Kenya","2",0
"278","Korea","2",0
"279","Kuwait","2",0
"280","Kyrgyzstan","2",0
"281","Laos","2",0
"282","Latin America","2",0
"283","Latvia","2",0
"284","Lebanon","2",0
"285","Lesotho","2",0
"286","Liberia","2",0
"287","Lithuania","2",0
"288","Luxembourg","2",0
"289","Macao","2",0
"290","Macau","2",1
"291","Macedonia","2",0
"292","Malawi","2",1
"293","Malaysia","2",0
"294","Malta","2",1
"295","Marshall Islands","2",1
"296","Mauritius","2",1
"297","Mexico","2",0
"298","Middle East","2",0
"299","Moldova","2",0
"300","Mongolia","2",0
"301","Morocco","2",0
"302","Mozambique","2",0
"303","Myanmar","2",1
"304","Namibia","2",1
"305","Nepal","2",0
"306","Netherlands","2",0
"307","New Caledonia","2",0
"308","New Zealand","2",0
"309","Nicaragua","2",0
"310","Nigeria","2",0
"311","North America","2",0
"312","North Korea","2",0
"313","Northern Ireland","2",0
"314","Norway","2",0
"315","Oceania/Pacific Islands","2",0
"316","Oman","2",0
"317","Pakistan","2",0
"318","Palau","2",0
"319","Palestine","2",0
"320","Panama","2",1
"321","Paraguay","2",1
"322","Peru","2",0
"323","Philippines","2",0
"324","Poland","2",0
"325","Portugal","2",0
"326","Puerto Rico","2",0
"327","Qatar","2",0
"328","Republic of Congo","2",0
"329","Republic of Serbia","2",1
"330","Romania","2",0
"331","Russia","2",0
"332","Rwanda","2",0
"333","Samoa","2",0
"334","Saudi Arabia","2",0
"335","Scandinavia","2",1
"336","Scotland","2",0
"337","Senegal","2",1
"338","Serbia and Montenegro","2",0
"339","Sierra Leone","2",0
"340","Singapore","2",0
"341","Slovakia","2",0
"342","Slovenia","2",0
"343","Somalia","2",0
"344","South Africa","2",0
"345","South America","2",0
"346","South Korea","2",0
"347","Spain","2",0
"348","Sri Lanka","2",0
"349","St Kitts","2",0
"350","Sudan","2",0
"351","Swaziland","2",1
"352","Sweden","2",0
"353","Switzerland","2",0
"354","Syria","2",0
"355","Taiwan","2",0
"356","Tajikistan","2",0
"357","Tanzania","2",0
"358","Thailand","2",0
"359","Togo","2",0
"360","Tonga","2",0
"361","Trinidad and Tobago","2",0
"362","Turkey","2",0
"363","Uganda","2",0
"364","Ukraine","2",0
"365","United Arab Emirates","2",0
"366","United Kingdom","2",0
"367","Uruguay","2",1
"368","US","2",0
"369","US Virgin Islands","2",0
"370","USSR","2",0
"371","Venezuela","2",0
"372","Vietnam","2",0
"373","Wales","2",0
"374","West Bank","2",1
"375","West Indies","2",0
"376","Western Europe","2",0
"377","Yemen","2",0
"378","Yugoslavia","2",0
"379","Zambia","2",0
"380","Zimbabwe","2",0
"381","Afghanistan","3",0
"382","Africa","3",0
"383","Albania","3",0
"384","Algeria","3",0
"385","Angola","3",0
"386","Appalachia","3",1
"387","Argentina","3",0
"388","Armenia","3",0
"389","Asia","3",0
"390","Australia","3",0
"391","Austria","3",0
"392","Azerbaijan","3",1
"393","Bahamas","3",0
"394","Bahrain","3",0
"395","Baltic States","3",0
"396","Bangladesh","3",0
"397","Barbados","3",0
"398","Belgium","3",0
"399","Benin","3",0
"400","Bermuda","3",0
"401","Bolivia","3",0
"402","Bosnia-Herzegovina","3",0
"403","Botswana","3",0
"404","Brazil","3",0
"405","Bulgaria","3",0
"406","Cambodia","3",0
"407","Cameroon","3",0
"408","Canada","3",0
"409","Caribbean","3",0
"410","Central America","3",1
"411","Channel Islands","3",0
"412","Chile","3",0
"413","China","3",0
"414","Colombia","3",0
"415","Commonwealth of Independent States","3",0
"416","Costa Rica","3",1
"417","Croatia","3",0
"418","Cuba","3",0
"419","Cyprus","3",0
"420","Czech Republic","3",0
"421","Czechoslovakia","3",1
"422","Democratic Republic of Congo","3",0
"423","Denmark","3",0
"424","Dominican Republic","3",0
"425","Eastern Europe","3",0
"426","Ecuador","3",0
"427","Egypt","3",0
"428","El Salvador","3",0
"429","England","3",0
"430","Eritrea","3",0
"431","Estonia","3",0
"432","Ethiopia","3",0
"433","Europe","3",0
"434","Fiji","3",0
"435","Finland","3",0
"436","France","3",0
"437","French Polynesia","3",0
"438","Gambia","3",0
"439","Gaza Strip","3",0
"440","Georgia","3",0
"441","Germany","3",0
"442","Ghana","3",0
"443","Great Britain","3",0
"444","Greece","3",0
"445","Grenada","3",0
"446","Guam","3",0
"447","Guatemala","3",0
"448","Guinea","3",0
"449","Guyana","3",1
"450","Haiti","3",1
"451","Honduras","3",0
"452","Hong Kong","3",0
"453","Hungary","3",0
"454","Iceland","3",0
"455","India","3",0
"456","Indonesia","3",0
"457","Iran","3",0
"458","Iraq","3",1
"459","Ireland","3",0
"460","Israel","3",0
"461","Italy","3",0
"462","Ivory Coast","3",0
"463","Jamaica","3",0
"464","Japan","3",0
"465","Jordan","3",0
"466","Kazakhstan","3",1
"467","Kenya","3",0
"468","Korea","3",0
"469","Kuwait","3",0
"470","Kyrgyzstan","3",0
"471","Laos","3",0
"472","Latin America","3",0
"473","Latvia","3",0
"474","Lebanon","3",0
"475","Lesotho","3",0
"476","Liberia","3",1
"477","Lithuania","3",0
"478","Luxembourg","3",0
"479","Macao","3",0
"480","Macau","3",0
"481","Macedonia","3",0
"482","Malawi","3",0
"483","Malaysia","3",0
"484","Malta","3",0
"485","Marshall Islands","3",0
"486","Mauritius","3",0
"487","Mexico","3",0
"488","Middle East","3",1
"489","Moldova","3",0
"490","Mongolia","3",0
"491","Morocco","3",0
"492","Mozambique","3",0
"493","Myanmar","3",0
"494","Namibia","3",0
"495","Nepal","3",0
"496","Netherlands","3",0
"497","New Caledonia","3",0
"498","New Zealand","3",0
"499","Nicaragua","3",0
"500","Nigeria","3",0
"501","North America","3",0
"502","North Korea","3",0
"503","Northern Ireland","3",0
"504","Norway","3",0
"505","Oceania/Pacific Islands","3",0
"506","Oman","3",0
"507","Pakistan","3",0
"508","Palau","3",0
"509","Palestine","3",0
"510","Panama","3",0
"511","Paraguay","3",0
"512","Peru","3",0
"513","Philippines","3",0
"514","Poland","3",0
"515","Portugal","3",0
"516","Puerto Rico","3",0
"517","Qatar","3",0
"518","Republic of Congo","3",0
"519","Republic of Serbia","3",0
"520","Romania","3",0
"521","Russia","3",0
"522","Rwanda","3",0
"523","Samoa","3",0
"524","Saudi Arabia","3",0
"525","Scandinavia","3",0
"526","Scotland","3",0
"527","Senegal","3",0
"528","Serbia and Montenegro","3",0
"529","Sierra Leone","3",0
"530","Singapore","3",0
"531","Slovakia","3",0
"532","Slovenia","3",0
"533","Somalia","3",0
"534","South Africa","3",0
"535","South America","3",0
"536","South Korea","3",0
"537","Spain","3",0
"538","Sri Lanka","3",1
"539","St Kitts","3",0
"540","Sudan","3",0
"541","Swaziland","3",0
"542","Sweden","3",0
"543","Switzerland","3",0
"544","Syria","3",0
"545","Taiwan","3",0
"546","Tajikistan","3",1
"547","Tanzania","3",0
"548","Thailand","3",0
"549","Togo","3",0
"550","Tonga","3",0
"551","Trinidad and Tobago","3",0
"552","Turkey","3",0
"553","Uganda","3",0
"554","Ukraine","3",0
"555","United Arab Emirates","3",0
"556","United Kingdom","3",0
"557","Uruguay","3",0
"558","US","3",0
"559","US Virgin Islands","3",0
"560","USSR","3",0
"561","Venezuela","3",0
"562","Vietnam","3",0
"563","Wales","3",0
"564","West Bank","3",0
"565","West Indies","3",0
"566","Western Europe","3",0
"567","Yemen","3",0
"568","Yugoslavia","3",1
"569","Zambia","3",0
"570","Zimbabwe","3",0
"571","Afghanistan","4",0
"572","Africa","4",0
"573","Albania","4",0
"574","Algeria","4",0
"575","Angola","4",0
"576","Appalachia","4",0
"577","Argentina","4",0
"578","Armenia","4",0
"579","Asia","4",0
"580","Australia","4",0
"581","Austria","4",0
"582","Azerbaijan","4",0
"583","Bahamas","4",0
"584","Bahrain","4",0
"585","Baltic States","4",0
"586","Bangladesh","4",0
"587","Barbados","4",1
"588","Belgium","4",0
"589","Benin","4",0
"590","Bermuda","4",0
"591","Bolivia","4",1
"592","Bosnia-Herzegovina","4",0
"593","Botswana","4",0
"594","Brazil","4",0
"595","Bulgaria","4",1
"596","Cambodia","4",0
"597","Cameroon","4",1
"598","Canada","4",0
"599","Caribbean","4",0
"600","Central America","4",0
"601","Channel Islands","4",0
"602","Chile","4",0
"603","China","4",0
"604","Colombia","4",0
"605","Commonwealth of Independent States","4",0
"606","Costa Rica","4",0
"607","Croatia","4",0
"608","Cuba","4",0
"609","Cyprus","4",0
"610","Czech Republic","4",0
"611","Czechoslovakia","4",0
"612","Democratic Republic of Congo","4",1
"613","Denmark","4",0
"614","Dominican Republic","4",0
"615","Eastern Europe","4",0
"616","Ecuador","4",0
"617","Egypt","4",0
"618","El Salvador","4",0
"619","England","4",0
"620","Eritrea","4",0
"621","Estonia","4",0
"622","Ethiopia","4",0
"623","Europe","4",0
"624","Fiji","4",0
"625","Finland","4",0
"626","France","4",0
"627","French Polynesia","4",0
"628","Gambia","4",0
"629","Gaza Strip","4",0
"630","Georgia","4",0
"631","Germany","4",0
"632","Ghana","4",0
"633","Great Britain","4",0
"634","Greece","4",0
"635","Grenada","4",0
"636","Guam","4",0
"637","Guatemala","4",0
"638","Guinea","4",0
"639","Guyana","4",0
"640","Haiti","4",0
"641","Honduras","4",0
"642","Hong Kong","4",0
"643","Hungary","4",0
"644","Iceland","4",0
"645","India","4",0
"646","Indonesia","4",0
"647","Iran","4",0
"648","Iraq","4",0
"649","Ireland","4",0
"650","Israel","4",0
"651","Italy","4",0
"652","Ivory Coast","4",0
"653","Jamaica","4",1
"654","Japan","4",0
"655","Jordan","4",0
"656","Kazakhstan","4",0
"657","Kenya","4",0
"658","Korea","4",0
"659","Kuwait","4",0
"660","Kyrgyzstan","4",0
"661","Laos","4",0
"662","Latin America","4",0
"663","Latvia","4",1
"664","Lebanon","4",0
"665","Lesotho","4",1
"666","Liberia","4",0
"667","Lithuania","4",0
"668","Luxembourg","4",0
"669","Macao","4",0
"670","Macau","4",0
"671","Macedonia","4",0
"672","Malawi","4",0
"673","Malaysia","4",0
"674","Malta","4",0
"675","Marshall Islands","4",0
"676","Mauritius","4",0
"677","Mexico","4",0
"678","Middle East","4",0
"679","Moldova","4",1
"680","Mongolia","4",1
"681","Morocco","4",0
"682","Mozambique","4",1
"683","Myanmar","4",0
"684","Namibia","4",0
"685","Nepal","4",0
"686","Netherlands","4",0
"687","New Caledonia","4",0
"688","New Zealand","4",0
"689","Nicaragua","4",0
"690","Nigeria","4",0
"691","North America","4",0
"692","North Korea","4",0
"693","Northern Ireland","4",0
"694","Norway","4",0
"695","Oceania/Pacific Islands","4",0
"696","Oman","4",0
"697","Pakistan","4",0
"698","Palau","4",0
"699","Palestine","4",0
"700","Panama","4",0
"701","Paraguay","4",0
"702","Peru","4",0
"703","Philippines","4",0
"704","Poland","4",0
"705","Portugal","4",0
"706","Puerto Rico","4",0
"707","Qatar","4",0
"708","Republic of Congo","4",0
"709","Republic of Serbia","4",0
"710","Romania","4",0
"711","Russia","4",0
"712","Rwanda","4",0
"713","Samoa","4",0
"714","Saudi Arabia","4",0
"715","Scandinavia","4",0
"716","Scotland","4",0
"717","Senegal","4",0
"718","Serbia and Montenegro","4",0
"719","Sierra Leone","4",1
"720","Singapore","4",0
"721","Slovakia","4",0
"722","Slovenia","4",0
"723","Somalia","4",0
"724","South Africa","4",0
"725","South America","4",1
"726","South Korea","4",0
"727","Spain","4",0
"728","Sri Lanka","4",0
"729","St Kitts","4",0
"730","Sudan","4",0
"731","Swaziland","4",0
"732","Sweden","4",0
"733","Switzerland","4",0
"734","Syria","4",0
"735","Taiwan","4",0
"736","Tajikistan","4",0
"737","Tanzania","4",0
"738","Thailand","4",0
"739","Togo","4",0
"740","Tonga","4",0
"741","Trinidad and Tobago","4",0
"742","Turkey","4",0
"743","Uganda","4",0
"744","Ukraine","4",0
"745","United Arab Emirates","4",0
"746","United Kingdom","4",0
"747","Uruguay","4",0
"748","US","4",0
"749","US Virgin Islands","4",0
"750","USSR","4",0
"751","Venezuela","4",0
"752","Vietnam","4",0
"753","Wales","4",0
"754","West Bank","4",0
"755","West Indies","4",0
"756","Western Europe","4",0
"757","Yemen","4",0
"758","Yugoslavia","4",0
"759","Zambia","4",0
"760","Zimbabwe","4",0
"761","Afghanistan","5",1
"762","Africa","5",0
"763","Albania","5",0
"764","Algeria","5",0
"765","Angola","5",0
"766","Appalachia","5",0
"767","Argentina","5",0
"768","Armenia","5",0
"769","Asia","5",0
"770","Australia","5",0
"771","Austria","5",0
"772","Azerbaijan","5",0
"773","Bahamas","5",0
"774","Bahrain","5",0
"775","Baltic States","5",0
"776","Bangladesh","5",0
"777","Barbados","5",0
"778","Belgium","5",0
"779","Benin","5",0
"780","Bermuda","5",0
"781","Bolivia","5",0
"782","Bosnia-Herzegovina","5",0
"783","Botswana","5",0
"784","Brazil","5",0
"785","Bulgaria","5",0
"786","Cambodia","5",1
"787","Cameroon","5",0
"788","Canada","5",0
"789","Caribbean","5",0
"790","Central America","5",0
"791","Channel Islands","5",0
"792","Chile","5",0
"793","China","5",0
"794","Colombia","5",0
"795","Commonwealth of Independent States","5",0
"796","Costa Rica","5",0
"797","Croatia","5",0
"798","Cuba","5",0
"799","Cyprus","5",0
"800","Czech Republic","5",0
"801","Czechoslovakia","5",0
"802","Democratic Republic of Congo","5",0
"803","Denmark","5",0
"804","Dominican Republic","5",1
"805","Eastern Europe","5",0
"806","Ecuador","5",0
"807","Egypt","5",0
"808","El Salvador","5",0
"809","England","5",0
"810","Eritrea","5",0
"811","Estonia","5",1
"812","Ethiopia","5",0
"813","Europe","5",0
"814","Fiji","5",0
"815","Finland","5",0
"816","France","5",0
"817","French Polynesia","5",0
"818","Gambia","5",0
"819","Gaza Strip","5",0
"820","Georgia","5",0
"821","Germany","5",0
"822","Ghana","5",0
"823","Great Britain","5",0
"824","Greece","5",0
"825","Grenada","5",0
"826","Guam","5",0
"827","Guatemala","5",0
"828","Guinea","5",0
"829","Guyana","5",0
"830","Haiti","5",0
"831","Honduras","5",1
"832","Hong Kong","5",0
"833","Hungary","5",0
"834","Iceland","5",0
"835","India","5",0
"836","Indonesia","5",0
"837","Iran","5",0
"838","Iraq","5",0
"839","Ireland","5",0
"840","Israel","5",0
"841","Italy","5",0
"842","Ivory Coast","5",0
"843","Jamaica","5",0
"844","Japan","5",0
"845","Jordan","5",0
"846","Kazakhstan","5",0
"847","Kenya","5",0
"848","Korea","5",0
"849","Kuwait","5",1
"850","Kyrgyzstan","5",0
"851","Laos","5",0
"852","Latin America","5",0
"853","Latvia","5",0
"854","Lebanon","5",0
"855","Lesotho","5",0
"856","Liberia","5",0
"857","Lithuania","5",0
"858","Luxembourg","5",0
"859","Macao","5",0
"860","Macau","5",0
"861","Macedonia","5",0
"862","Malawi","5",0
"863","Malaysia","5",0
"864","Malta","5",0
"865","Marshall Islands","5",0
"866","Mauritius","5",0
"867","Mexico","5",0
"868","Middle East","5",0
"869","Moldova","5",0
"870","Mongolia","5",0
"871","Morocco","5",0
"872","Mozambique","5",0
"873","Myanmar","5",0
"874","Namibia","5",0
"875","Nepal","5",0
"876","Netherlands","5",0
"877","New Caledonia","5",0
"878","New Zealand","5",0
"879","Nicaragua","5",1
"880","Nigeria","5",0
"881","North America","5",0
"882","North Korea","5",0
"883","Northern Ireland","5",0
"884","Norway","5",0
"885","Oceania/Pacific Islands","5",1
"886","Oman","5",0
"887","Pakistan","5",0
"888","Palau","5",0
"889","Palestine","5",0
"890","Panama","5",0
"891","Paraguay","5",0
"892","Peru","5",0
"893","Philippines","5",0
"894","Poland","5",0
"895","Portugal","5",0
"896","Puerto Rico","5",0
"897","Qatar","5",0
"898","Republic of Congo","5",0
"899","Republic of Serbia","5",0
"900","Romania","5",0
"901","Russia","5",0
"902","Rwanda","5",0
"903","Samoa","5",0
"904","Saudi Arabia","5",0
"905","Scandinavia","5",0
"906","Scotland","5",0
"907","Senegal","5",0
"908","Serbia and Montenegro","5",0
"909","Sierra Leone","5",0
"910","Singapore","5",0
"911","Slovakia","5",1
"912","Slovenia","5",0
"913","Somalia","5",1
"914","South Africa","5",0
"915","South America","5",0
"916","South Korea","5",0
"917","Spain","5",0
"918","Sri Lanka","5",0
"919","St Kitts","5",0
"920","Sudan","5",0
"921","Swaziland","5",0
"922","Sweden","5",0
"923","Switzerland","5",0
"924","Syria","5",0
"925","Taiwan","5",0
"926","Tajikistan","5",0
"927","Tanzania","5",0
"928","Thailand","5",0
"929","Togo","5",0
"930","Tonga","5",0
"931","Trinidad and Tobago","5",0
"932","Turkey","5",0
"933","Uganda","5",0
"934","Ukraine","5",0
"935","United Arab Emirates","5",0
"936","United Kingdom","5",0
"937","Uruguay","5",0
"938","US","5",0
"939","US Virgin Islands","5",0
"940","USSR","5",0
"941","Venezuela","5",0
"942","Vietnam","5",0
"943","Wales","5",0
"944","West Bank","5",0
"945","West Indies","5",0
"946","Western Europe","5",0
"947","Yemen","5",0
"948","Yugoslavia","5",0
"949","Zambia","5",0
"950","Zimbabwe","5",0
"951","Afghanistan","6",0
"952","Africa","6",0
"953","Albania","6",1
"954","Algeria","6",0
"955","Angola","6",0
"956","Appalachia","6",0
"957","Argentina","6",0
"958","Armenia","6",0
"959","Asia","6",0
"960","Australia","6",0
"961","Austria","6",0
"962","Azerbaijan","6",0
"963","Bahamas","6",0
"964","Bahrain","6",0
"965","Baltic States","6",0
"966","Bangladesh","6",1
"967","Barbados","6",0
"968","Belgium","6",0
"969","Benin","6",0
"970","Bermuda","6",0
"971","Bolivia","6",0
"972","Bosnia-Herzegovina","6",0
"973","Botswana","6",0
"974","Brazil","6",0
"975","Bulgaria","6",0
"976","Cambodia","6",0
"977","Cameroon","6",0
"978","Canada","6",0
"979","Caribbean","6",0
"980","Central America","6",0
"981","Channel Islands","6",0
"982","Chile","6",0
"983","China","6",0
"984","Colombia","6",0
"985","Commonwealth of Independent States","6",0
"986","Costa Rica","6",0
"987","Croatia","6",0
"988","Cuba","6",0
"989","Cyprus","6",1
"990","Czech Republic","6",0
"991","Czechoslovakia","6",0
"992","Democratic Republic of Congo","6",0
"993","Denmark","6",0
"994","Dominican Republic","6",0
"995","Eastern Europe","6",0
"996","Ecuador","6",1
"997","Egypt","6",0
"998","El Salvador","6",1
"999","England","6",0
"1000","Eritrea","6",0
"1001","Estonia","6",0
"1002","Ethiopia","6",0
"1003","Europe","6",0
"1004","Fiji","6",0
"1005","Finland","6",0
"1006","France","6",0
"1007","French Polynesia","6",0
"1008","Gambia","6",0
"1009","Gaza Strip","6",0
"1010","Georgia","6",0
"1011","Germany","6",0
"1012","Ghana","6",0
"1013","Great Britain","6",0
"1014","Greece","6",0
"1015","Grenada","6",0
"1016","Guam","6",0
"1017","Guatemala","6",0
"1018","Guinea","6",0
"1019","Guyana","6",0
"1020","Haiti","6",0
"1021","Honduras","6",0
"1022","Hong Kong","6",0
"1023","Hungary","6",0
"1024","Iceland","6",0
"1025","India","6",0
"1026","Indonesia","6",0
"1027","Iran","6",0
"1028","Iraq","6",0
"1029","Ireland","6",0
"1030","Israel","6",0
"1031","Italy","6",0
"1032","Ivory Coast","6",0
"1033","Jamaica","6",0
"1034","Japan","6",0
"1035","Jordan","6",0
"1036","Kazakhstan","6",0
"1037","Kenya","6",0
"1038","Korea","6",0
"1039","Kuwait","6",0
"1040","Kyrgyzstan","6",0
"1041","Laos","6",0
"1042","Latin America","6",0
"1043","Latvia","6",0
"1044","Lebanon","6",1
"1045","Lesotho","6",0
"1046","Liberia","6",0
"1047","Lithuania","6",0
"1048","Luxembourg","6",0
"1049","Macao","6",0
"1050","Macau","6",0
"1051","Macedonia","6",0
"1052","Malawi","6",0
"1053","Malaysia","6",0
"1054","Malta","6",0
"1055","Marshall Islands","6",0
"1056","Mauritius","6",0
"1057","Mexico","6",0
"1058","Middle East","6",0
"1059","Moldova","6",0
"1060","Mongolia","6",0
"1061","Morocco","6",0
"1062","Mozambique","6",0
"1063","Myanmar","6",0
"1064","Namibia","6",0
"1065","Nepal","6",0
"1066","Netherlands","6",0
"1067","New Caledonia","6",0
"1068","New Zealand","6",0
"1069","Nicaragua","6",0
"1070","Nigeria","6",0
"1071","North America","6",0
"1072","North Korea","6",0
"1073","Northern Ireland","6",0
"1074","Norway","6",0
"1075","Oceania/Pacific Islands","6",0
"1076","Oman","6",0
"1077","Pakistan","6",0
"1078","Palau","6",0
"1079","Palestine","6",0
"1080","Panama","6",0
"1081","Paraguay","6",0
"1082","Peru","6",0
"1083","Philippines","6",0
"1084","Poland","6",0
"1085","Portugal","6",0
"1086","Puerto Rico","6",0
"1087","Qatar","6",0
"1088","Republic of Congo","6",0
"1089","Republic of Serbia","6",0
"1090","Romania","6",0
"1091","Russia","6",0
"1092","Rwanda","6",1
"1093","Samoa","6",0
"1094","Saudi Arabia","6",0
"1095","Scandinavia","6",0
