Country,articleCount,GDPperCapita,GDPRank,PPP2013,articleRank
Sri Lanka,9,3279.89139,142,6530.51,85.5
St Kitts,1,NA,NA,NA,178
Sudan,3,1753.38091,161,2631.12,132
Swaziland,2,3034.223184,147,6218.03,152
Sweden,297,60430.21558,7,41188.39,9
Switzerland,19,84815.40701,5,46430.13,59
Syria,2,NA,NA,NA,152
Taiwan,67,NA,NA,39767.01,21
Tajikistan,4,1036.583276,182,2354.07,120.5
Tanzania,11,694.7711797,190,1715.5,76.5
Thailand,37,5778.977216,109,9874.51,31
Togo,2,636.43645,196,1084,152
Tonga,2,4426.944581,122,8167.81,152
Trinidad and Tobago,11,18372.90432,51,20437.69,76.5
Tunisia,1,4316.685695,125,9931.66,178
Turkey,29,10971.65631,73,15352.61,42.5
Uganda,30,571.9600416,198,1483.88,41
Ukraine,21,3900.465376,129,7423.13,56.5
United Arab Emirates,7,43048.85015,22,30122.11,97.5
United Kingdom,1322,41787.46798,24,37306.6,2
United States,7079,53041.98141,10,53101.01,1
Uruguay,2,16350.72817,53,16722.67,152
US Virgin Islands,1,NA,NA,NA,178
USSR,6,NA,NA,NA,105
Vatican,1,NA,NA,NA,178
Venezuela,2,14414.75353,60,13604.75,152
Vietnam,45,1910.512818,156,4011.51,28.5
West Indies,1,NA,NA,NA,178
Western Europe,1,NA,NA,NA,178
Yemen,1,1473.099564,171,2316.28,178
Yugoslavia,2,NA,NA,NA,152
Zambia,21,1844.799139,160,1753.98,56.5
Zimbabwe,10,953.3806071,185,787.717,81.5
American Samoa,0,NA,NA,NA,218.5
Andorra,0,NA,NA,NA,218.5
Antigua and Barbuda,0,13342.085,67,18558.11,218.5
Aruba,0,NA,NA,NA,218.5
Belarus,0,7575.48211,91,15753.21,218.5
Belize,0,4893.926635,115,8715.6,218.5
Bhutan,0,2362.581737,151,6369.71,218.5
Bosnia and Herzegovina,0,4661.764245,120,8280.4,218.5
Brunei,0,38563.31451,28,53430.94,218.5
Burkina Faso,0,683.9484018,192,1585.01,218.5
Burundi,0,267.1093219,209,641.712,218.5
Cabo Verde,0,3767.115364,133,4337.71,218.5
Cayman Islands,0,NA,NA,NA,218.5
Central African Republic,0,333.1968806,208,541.93,218.5
Comoros,0,814.9571488,187,1287.17,218.5
Congo (Kinsasha),0,484.2114713,204,647.754,218.5
Curacao,0,NA,NA,NA,218.5
Djibouti,0,1668.336703,164,2745.68,218.5
Dominica,0,7175.626941,96,14282.94,218.5
Equatorial Guinea,0,20581.60594,48,23369.77,218.5
European Union,0,35438.4879,33,NA,218.5
Faeroe Islands,0,NA,NA,NA,218.5
Gabon,0,11571.08292,70,19478.29,218.5
"Gambia, The",0,488.5655946,203,1962.21,218.5
Guinea-Bissau,0,563.7527714,199,1205.66,218.5
Kiribati,0,1650.707224,166,6391.01,218.5
Libya,0,11964.7307,68,11497.89,218.5
Liechtenstein,0,NA,NA,NA,218.5
Madagascar,0,462.9689428,205,970.054,218.5
Maldives,0,6665.767695,100,9172.68,218.5
Mauritania,0,1068.974597,178,2218.12,218.5
Monaco,0,NA,NA,NA,218.5
Montenegro,0,7106.861774,97,11912.64,218.5
Niger,0,415.4173218,207,828.947,218.5
Northern Mariana Islands,0,NA,NA,NA,218.5
San Marino,0,NA,NA,NA,218.5
Sao Tome and Principe,0,1609.823339,167,2194.45,218.5
Serbia,0,6353.964741,104,11268.87,218.5
Seychelles,0,16185.89948,54,26492.08,218.5
Slovak Republic,0,18046.84318,52,24605.35,218.5
Solomon Islands,0,1953.557318,155,3455.36,218.5
South Sudan,0,1044.991678,181,1350.26,218.5
St. Kitts and Nevis,0,14132.80188,61,15605.4,218.5
St. Lucia,0,7328.370692,94,12729.73,218.5
St. Martin ,0,NA,NA,NA,218.5
St. Vincent and the Grenadines,0,6485.679146,103,12207.2,218.5
Suriname,0,9825.743921,79,13116.11,218.5
Timor-Leste,0,NA,NA,21705.22,218.5
Turkmenistan,0,7986.698884,85,9509.73,218.5
Turks and Caicos Islands,0,NA,NA,NA,218.5
Tuvalu,0,3880.352322,130,3518.62,218.5
Uzbekistan,0,1878.094921,157,3761.61,218.5
Vanuatu,0,3276.734258,143,4718.04,218.5
West Bank and Gaza,0,NA,NA,NA,218.5
